Serial_number:,,,,,,,
2161676,,,,,,,
Project ID:,,,,,,,
,,,,,,,
Location:,82.9850053°W 37.0859945°N ,,,,,,
,,,,,,,
LEVEL,,,,,,,
UNIT: m,,,,,,,
Offset: 0.000000 m,,,,,,,
TEMPERATURE,,,,,,,
UNIT: °C,,,,,,,
Date,Time,ms,LEVEL,TEMPERATURE,,,
07-Nov-24,12:23:58 PM,0,10.008,25.4,,07-11-24 12:23:58,
07-Nov-24,12:38:58 PM,0,10.086,17.3,,07-11-24 12:38:58,
07-Nov-24,12:53:58 PM,0,10.08,16.7,,07-11-24 12:53:58,
07-Nov-24,1:08:58 PM,0,10.079,16.7,,07-11-24 13:08:58,
07-Nov-24,1:23:58 PM,0,10.076,16.7,,07-11-24 13:23:58,
07-Nov-24,1:38:58 PM,0,10.076,16.8,,07-11-24 13:38:58,
07-Nov-24,1:53:58 PM,0,10.076,16.9,,07-11-24 13:53:58,
07-Nov-24,2:08:58 PM,0,10.071,17,,07-11-24 14:08:58,
07-Nov-24,2:23:58 PM,0,10.076,17.3,,07-11-24 14:23:58,
07-Nov-24,2:38:58 PM,0,10.077,17.4,,07-11-24 14:38:58,
07-Nov-24,2:53:58 PM,0,10.082,17.6,,07-11-24 14:53:58,
07-Nov-24,3:08:58 PM,0,10.082,17.6,,07-11-24 15:08:58,
07-Nov-24,3:23:58 PM,0,10.08,17.5,,07-11-24 15:23:58,
07-Nov-24,3:38:58 PM,0,10.08,17.5,,07-11-24 15:38:58,
07-Nov-24,3:53:58 PM,0,10.077,17.4,,07-11-24 15:53:58,
07-Nov-24,4:08:58 PM,0,10.077,17.4,,07-11-24 16:08:58,
07-Nov-24,4:23:58 PM,0,10.077,17.4,,07-11-24 16:23:58,
07-Nov-24,4:38:58 PM,0,10.076,17.4,,07-11-24 16:38:58,
07-Nov-24,4:53:58 PM,0,10.076,17.3,,07-11-24 16:53:58,
07-Nov-24,5:08:58 PM,0,10.074,17.2,,07-11-24 17:08:58,
07-Nov-24,5:23:58 PM,0,10.073,17.1,,07-11-24 17:23:58,
07-Nov-24,5:38:58 PM,0,10.077,17.1,,07-11-24 17:38:58,
07-Nov-24,5:53:58 PM,0,10.08,17,,07-11-24 17:53:58,
07-Nov-24,6:08:58 PM,0,10.083,16.9,,07-11-24 18:08:58,
07-Nov-24,6:23:58 PM,0,10.082,16.8,,07-11-24 18:23:58,
07-Nov-24,6:38:58 PM,0,10.086,16.8,,07-11-24 18:38:58,
07-Nov-24,6:53:58 PM,0,10.088,16.7,,07-11-24 18:53:58,
07-Nov-24,7:08:58 PM,0,10.091,16.7,,07-11-24 19:08:58,
07-Nov-24,7:23:58 PM,0,10.092,16.7,,07-11-24 19:23:58,
07-Nov-24,7:38:58 PM,0,10.092,16.6,,07-11-24 19:38:58,
07-Nov-24,7:53:58 PM,0,10.091,16.6,,07-11-24 19:53:58,
07-Nov-24,8:08:58 PM,0,10.092,16.6,,07-11-24 20:08:58,
07-Nov-24,8:23:58 PM,0,10.092,16.6,,07-11-24 20:23:58,
07-Nov-24,8:38:58 PM,0,10.094,16.6,,07-11-24 20:38:58,
07-Nov-24,8:53:58 PM,0,10.095,16.5,,07-11-24 20:53:58,
07-Nov-24,9:08:58 PM,0,10.095,16.5,,07-11-24 21:08:58,
07-Nov-24,9:23:58 PM,0,10.094,16.5,,07-11-24 21:23:58,
07-Nov-24,9:38:58 PM,0,10.092,16.5,,07-11-24 21:38:58,
07-Nov-24,9:53:58 PM,0,10.092,16.5,,07-11-24 21:53:58,
07-Nov-24,10:08:58 PM,0,10.091,16.4,,07-11-24 22:08:58,
07-Nov-24,10:23:58 PM,0,10.089,16.4,,07-11-24 22:23:58,
07-Nov-24,10:38:58 PM,0,10.088,16.4,,07-11-24 22:38:58,
