Plot Title: Cowan Cummunity Center,,,,,,,,,,,,,
#,"Date Time, GMT-05:00","Wind Direction, ø (LGR S/N: 21920235, SEN S/N: 21873582)","Wind Speed, mph (LGR S/N: 21920235, SEN S/N: 21877366)","Gust Speed, mph (LGR S/N: 21920235, SEN S/N: 21877366)","Temp, °F (LGR S/N: 21920235, SEN S/N: 21901390)","RH, % (LGR S/N: 21920235, SEN S/N: 21901390)","Rain, in (LGR S/N: 21920235, SEN S/N: 21920227)","Wind Direction, ø (LGR S/N: 21920235, SEN S/N: 21873582)","Wind Speed, mph (LGR S/N: 21920235, SEN S/N: 21877366)","Gust Speed, mph (LGR S/N: 21920235, SEN S/N: 21877366)","Temp, °F (LGR S/N: 21920235, SEN S/N: 21901390)","RH, % (LGR S/N: 21920235, SEN S/N: 21901390)","Rain, in (LGR S/N: 21920235, SEN S/N: 21920227)"
1,11-08-24 14:07,230.2,0,0,58.701,93.225,,219,0,2.26,58.818,91.25,
2,11-08-24 14:22,241.5,0,2.26,58.509,91.344,0,248.5,0,0,58.546,92.317,0
3,11-08-24 14:37,40.7,0,1.12,58.701,94.662,0,56.2,0,1.12,58.316,92.793,0
4,11-08-24 14:52,37.9,0,1.12,58.199,92.996,0,36.5,0,0,58.509,93.111,0
5,11-08-24 15:07,35.1,0,0,58.469,92.386,0,351,0,0,58.199,93.292,0
6,11-08-24 15:22,351,0,0,57.002,95.448,0,351,0,0,56.154,96.776,0
7,11-08-24 15:37,351,0,0,55.227,97.169,0,351,0,0,54.185,97.385,0
8,11-08-24 15:52,351,0,0,53.413,97.967,0,351,0,0,52.486,97.986,0
9,11-08-24 16:07,351,0,0,52.293,98.593,0,351,0,0,51.481,98.585,0
10,11-08-24 16:22,349.6,0,0,51.289,98.705,0,349.6,0,0,50.749,98.764,0
11,11-08-24 16:37,349.6,0,0,50.634,98.933,0,351,0,0,50.864,99.107,0
12,11-08-24 16:52,351,0,0,50.324,99.016,0,349.6,0,0,49.861,99.034,0
13,11-08-24 17:07,351,0,0,49.784,99.129,0,351,0,0,49.59,99.335,0
14,11-08-24 17:22,351,0,0,49.629,99.426,0,351,0,0,49.707,99.541,0
15,11-08-24 17:37,351,0,0,49.629,99.55,0,351,0,0,49.514,99.533,0
16,11-08-24 17:52,351,0,0,49.667,99.593,0,351,0,1.12,49.242,99.551,0
17,11-08-24 18:07,351,0,0,49.167,99.638,0,349.6,0,1.12,49.32,99.614,0
18,11-08-24 18:22,349.6,0,0,49.204,99.673,0,349.6,0,0,49.242,99.797,0
19,11-08-24 18:37,349.6,0,0,49.359,99.783,0,349.6,0,0,49.242,99.849,0
20,11-08-24 18:52,349.6,0,1.12,49.242,99.934,0,349.6,0,0,49.089,99.971,0
21,11-08-24 19:07,256.9,0,1.12,48.78,99.95,0,255.5,0,0,48.972,99.98,0
22,11-08-24 19:22,255.5,0,0,49.012,99.997,0,255.5,0,0,48.934,99.997,0
23,11-08-24 19:37,255.5,0,0,49.012,99.997,0,255.5,0,0,49.05,99.997,0
24,11-08-24 19:52,255.5,0,1.12,48.972,99.995,0,255.5,0,0,48.702,99.997,0
25,11-08-24 20:07,255.5,0,0,48.742,99.997,0,255.5,0,0,48.355,99.997,0
26,11-08-24 20:22,255.5,0,0,48.123,99.997,0,255.5,0,0,47.7,99.936,0
27,11-08-24 20:37,255.5,0,0,47.467,99.997,0,255.5,0,0,47.08,99.997,0
28,11-08-24 20:52,256.9,0,0,46.81,99.997,0,266.7,0,1.12,46.27,99.997,0
29,11-08-24 21:07,324.3,0,1.12,45.808,99.997,0,324.3,0,0,45.768,99.997,0
30,11-08-24 21:22,324.3,0,0,45.498,99.997,0,324.3,0,0,45.189,99.997,0
31,11-08-24 21:37,324.3,0,0,45.151,99.997,0,314.5,0,1.12,45.228,99.997,0
32,11-08-24 21:52,262.5,0,1.12,44.919,99.997,0,256.9,0,0,44.456,99.997,0
33,11-08-24 22:07,256.9,0,0,44.416,99.997,0,255.5,0,2.26,44.146,99.997,0
34,11-08-24 22:22,247.1,0,0,43.954,99.997,0,247.1,0,1.12,43.954,99.997,0
35,11-08-24 22:37,247.1,0,1.12,43.916,99.997,0,247.1,0,0,43.761,99.997,0
36,11-08-24 22:52,247.1,0,2.26,43.491,99.997,0,254.1,0,1.12,43.799,99.997,0
37,11-08-24 23:07,286.4,0,1.12,43.799,99.858,0,311.7,0,1.12,43.916,99.861,0
38,11-08-24 23:22,259.7,0,2.26,44.146,99.719,0,255.5,0,0,44.186,99.339,0
39,11-08-24 23:37,254.1,0,0,45.653,97.737,0,240.1,0,1.12,50.014,89.65,0
40,11-08-24 23:52,238.7,0,0,52.525,88.885,0,237.3,0,0,54.648,84.512,0
41,11-09-24 0:07,237.3,0,1.12,54.957,81.056,0,237.3,0,1.12,56.347,79.248,0
42,11-09-24 0:22,237.3,0,1.12,59.241,73.098,0,169.9,0,1.12,61.558,70.037,0
43,11-09-24 0:37,190.9,0,3.38,63.72,58.451,0,237.3,0,2.26,66.654,58.68,0
44,11-09-24 0:52,230.2,0,2.26,67.156,42.016,0,237.3,1.12,4.5,67.813,41.265,0
45,11-09-24 1:07,237.3,0,3.38,67.62,39.704,0,221.8,0,3.38,68.045,38.584,0
46,11-09-24 1:22,220.4,0,0,68.508,39.219,0,237.3,0,2.26,68.97,35.694,0
47,11-09-24 1:37,237.3,0,2.26,69.472,34.946,0,238.7,0,3.38,70.207,36.66,0
48,11-09-24 1:52,214.8,0,2.26,69.588,41.347,0,195.1,0,1.12,69.472,36.033,0
49,11-09-24 2:07,217.6,0,2.26,72.986,33.616,0,219,0,3.38,74.723,34.563,0
50,11-09-24 2:22,190.9,0,1.12,73.256,40.072,0,210.6,0,1.12,70.824,54.394,0
51,11-09-24 2:37,304.7,0,0,68.623,56.573,0,303.2,0,0,65.458,60.191,0
52,11-09-24 2:52,303.2,0,0,64.724,57.392,0,303.2,0,0,64.377,62.368,0
53,11-09-24 3:07,303.2,0,0,64.686,67.25,0,303.2,0,0,64.569,66.535,0
54,11-09-24 3:22,303.2,0,0,63.797,69.516,0,303.2,0,0,62.292,74.203,0
55,11-09-24 3:37,303.2,0,0,61.288,77.084,0,303.2,0,0,60.168,81.181,0
56,11-09-24 3:52,303.2,0,0,58.933,82.481,0,303.2,0,0,57.969,86.091,0
57,11-09-24 4:07,303.2,0,0,57.234,85.91,0,303.2,0,0,56.694,87.039,0
58,11-09-24 4:22,303.2,0,0,56.347,87.329,0,303.2,0,0,55.767,88.103,0
59,11-09-24 4:37,303.2,0,0,55.497,89.796,0,303.2,0,0,55.575,89.708,0
60,11-09-24 4:52,303.2,0,0,55.767,88.89,0,303.2,0,0,55.999,87.424,0
61,11-09-24 5:07,303.2,0,0,55.882,89.058,0,303.2,0,0,55.497,89.229,0
62,11-09-24 5:22,303.2,0,0,54.918,90.55,0,303.2,0,0,54.84,88.994,0
63,11-09-24 5:37,293.4,0,1.12,54.995,89.201,0,251.3,0,1.12,55.382,88.913,0
64,11-09-24 5:52,251.3,0,3.38,56.385,85.931,0,308.9,0,3.38,57.699,80.429,0
65,11-09-24 6:07,227.4,1.12,6.76,63.874,70.436,0,2.8,1.12,7.87,64.492,62.757,0
66,11-09-24 6:22,247.1,0,5.64,68.045,55.035,0,101.1,1.12,7.87,67.465,49.621,0
67,11-09-24 6:37,202.2,1.12,6.76,68.43,48.74,0,196.5,1.12,5.64,66.771,49.459,0
68,11-09-24 6:52,188.1,1.12,5.64,67.426,46.882,0,88.4,1.12,9.01,67.543,46.722,0
69,11-09-24 7:07,157.2,0,6.76,66.963,48.022,0,188.1,0,9.01,66.963,48.476,0
70,11-09-24 7:22,199.4,1.12,14.63,67.273,47.144,0,134.8,2.26,15.77,66.886,47.683,0
71,11-09-24 7:37,110.9,2.26,13.51,66.461,47.385,0,59,0,10.13,64.917,50.146,0
