Serial_number:
2160082
Project ID:

Location:

LEVEL
UNIT: kPa
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
07-Nov-24,11:41:16 am,0,98.2694,24.320
07-Nov-24,11:56:16 am,0,98.2404,25.889
07-Nov-24,12:11:16 pm,0,98.2157,25.685
07-Nov-24,12:26:16 pm,0,98.1918,25.959
07-Nov-24,12:41:16 pm,0,98.1724,26.438
07-Nov-24,12:56:16 pm,0,98.1423,26.302
07-Nov-24,01:11:16 pm,0,98.1326,26.501
07-Nov-24,01:26:16 pm,0,98.1139,27.362
07-Nov-24,01:41:16 pm,0,98.0989,27.029
07-Nov-24,01:56:16 pm,0,98.1027,26.396
07-Nov-24,02:11:16 pm,0,97.9904,31.778
07-Nov-24,02:26:16 pm,0,98.0721,33.637
07-Nov-24,02:41:16 pm,0,98.0850,31.884
07-Nov-24,02:56:16 pm,0,98.0977,28.475
07-Nov-24,03:11:16 pm,0,98.0930,26.576
07-Nov-24,03:26:16 pm,0,98.0826,25.816
07-Nov-24,03:41:16 pm,0,98.0854,24.885
07-Nov-24,03:56:16 pm,0,98.0872,24.873
07-Nov-24,04:11:16 pm,0,98.0894,24.421
07-Nov-24,04:26:16 pm,0,98.0865,23.922
07-Nov-24,04:41:16 pm,0,98.0881,23.601
07-Nov-24,04:56:16 pm,0,98.1072,23.139
07-Nov-24,05:11:16 pm,0,98.1170,22.518
07-Nov-24,05:26:16 pm,0,98.1207,22.184
07-Nov-24,05:41:16 pm,0,98.1222,21.978
07-Nov-24,05:56:16 pm,0,98.1429,21.878
07-Nov-24,06:11:16 pm,0,98.1486,21.601
07-Nov-24,06:26:16 pm,0,98.1625,20.345
07-Nov-24,06:41:16 pm,0,98.1885,20.009
07-Nov-24,06:56:16 pm,0,98.2054,19.842
07-Nov-24,07:11:16 pm,0,98.2141,20.240
07-Nov-24,07:26:16 pm,0,98.2237,20.130
07-Nov-24,07:41:16 pm,0,98.2244,20.062
07-Nov-24,07:56:16 pm,0,98.2180,20.196
07-Nov-24,08:11:16 pm,0,98.2293,20.016
07-Nov-24,08:26:16 pm,0,98.2233,20.199
