Serial_number:
2161676
Project ID:

Location:

LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
07-Nov-24,12:23:58 pm,0,10.008,25.40
07-Nov-24,12:38:58 pm,0,10.086,17.30
07-Nov-24,12:53:58 pm,0,10.080,16.70
07-Nov-24,01:08:58 pm,0,10.079,16.70
07-Nov-24,01:23:58 pm,0,10.076,16.70
07-Nov-24,01:38:58 pm,0,10.076,16.80
07-Nov-24,01:53:58 pm,0,10.076,16.90
07-Nov-24,02:08:58 pm,0,10.071,17.00
07-Nov-24,02:23:58 pm,0,10.076,17.30
07-Nov-24,02:38:58 pm,0,10.077,17.40
07-Nov-24,02:53:58 pm,0,10.082,17.60
07-Nov-24,03:08:58 pm,0,10.082,17.60
07-Nov-24,03:23:58 pm,0,10.080,17.50
07-Nov-24,03:38:58 pm,0,10.080,17.50
07-Nov-24,03:53:58 pm,0,10.077,17.40
07-Nov-24,04:08:58 pm,0,10.077,17.40
07-Nov-24,04:23:58 pm,0,10.077,17.40
07-Nov-24,04:38:58 pm,0,10.076,17.40
07-Nov-24,04:53:58 pm,0,10.076,17.30
07-Nov-24,05:08:58 pm,0,10.074,17.20
07-Nov-24,05:23:58 pm,0,10.073,17.10
07-Nov-24,05:38:58 pm,0,10.077,17.10
07-Nov-24,05:53:58 pm,0,10.080,17.00
07-Nov-24,06:08:58 pm,0,10.083,16.90
07-Nov-24,06:23:58 pm,0,10.082,16.80
07-Nov-24,06:38:58 pm,0,10.086,16.80
07-Nov-24,06:53:58 pm,0,10.088,16.70
07-Nov-24,07:08:58 pm,0,10.091,16.70
07-Nov-24,07:23:58 pm,0,10.092,16.70
07-Nov-24,07:38:58 pm,0,10.092,16.60
07-Nov-24,07:53:58 pm,0,10.091,16.60
07-Nov-24,08:08:58 pm,0,10.092,16.60
07-Nov-24,08:23:58 pm,0,10.092,16.60
07-Nov-24,08:38:58 pm,0,10.094,16.60
07-Nov-24,08:53:58 pm,0,10.095,16.50
07-Nov-24,09:08:58 pm,0,10.095,16.50
07-Nov-24,09:23:58 pm,0,10.094,16.50
07-Nov-24,09:38:58 pm,0,10.092,16.50
07-Nov-24,09:53:58 pm,0,10.092,16.50
07-Nov-24,10:08:58 pm,0,10.091,16.40
07-Nov-24,10:23:58 pm,0,10.089,16.40
