Serial_number:
1090580
Project ID:

Location:

LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
CONDUCTIVITY
UNIT: µS/cm
Date,Time,ms,LEVEL,TEMPERATURE,CONDUCTIVITY
07-Nov-24,11:30:00 am,0,10.0200,27.355,232.9
07-Nov-24,11:45:00 am,0,10.1094,15.954,518.9
07-Nov-24,12:00:00 pm,0,10.1076,15.896,534.6
07-Nov-24,12:15:00 pm,0,10.1058,15.963,533.7
07-Nov-24,12:30:00 pm,0,10.1033,16.084,532.1
07-Nov-24,12:45:00 pm,0,10.1025,16.239,532.2
07-Nov-24,01:00:00 pm,0,10.0992,16.386,535.5
07-Nov-24,01:15:00 pm,0,10.0975,16.521,535.8
07-Nov-24,01:30:00 pm,0,10.0959,16.621,537.6
07-Nov-24,01:45:00 pm,0,10.0943,16.710,539.1
07-Nov-24,02:00:00 pm,0,10.0939,16.806,542.3
07-Nov-24,02:15:00 pm,0,10.0918,16.912,545.5
07-Nov-24,02:30:00 pm,0,10.0918,17.009,548.1
07-Nov-24,02:45:00 pm,0,10.0896,17.119,552.0
07-Nov-24,03:00:00 pm,0,10.0905,17.220,554.1
07-Nov-24,03:15:00 pm,0,10.0928,17.286,555.8
07-Nov-24,03:30:00 pm,0,10.0921,17.342,555.1
07-Nov-24,03:45:00 pm,0,10.0929,17.396,553.2
07-Nov-24,04:00:00 pm,0,10.0933,17.420,550.4
07-Nov-24,04:15:00 pm,0,10.0933,17.442,549.3
07-Nov-24,04:30:00 pm,0,10.0925,17.454,547.7
07-Nov-24,04:45:00 pm,0,10.0948,17.452,546.8
07-Nov-24,05:00:00 pm,0,10.0956,17.441,546.0
07-Nov-24,05:15:00 pm,0,10.0972,17.417,544.9
07-Nov-24,05:30:00 pm,0,10.0973,17.386,542.9
07-Nov-24,05:45:00 pm,0,10.0979,17.349,540.8
07-Nov-24,06:00:00 pm,0,10.0998,17.297,539.2
07-Nov-24,06:15:00 pm,0,10.1004,17.244,537.6
07-Nov-24,06:30:00 pm,0,10.1024,17.186,535.7
07-Nov-24,06:45:00 pm,0,10.1047,17.114,534.2
07-Nov-24,07:00:00 pm,0,10.1069,17.061,533.1
07-Nov-24,07:15:00 pm,0,10.1077,17.023,531.8
07-Nov-24,07:30:00 pm,0,10.1084,16.990,531.1
07-Nov-24,07:45:00 pm,0,10.1081,16.957,530.4
07-Nov-24,08:00:00 pm,0,10.1077,16.926,529.2
07-Nov-24,08:15:00 pm,0,10.1086,16.900,528.4
07-Nov-24,08:30:00 pm,0,10.1087,16.872,528.0
07-Nov-24,08:45:00 pm,0,10.1085,16.846,527.5
07-Nov-24,09:00:00 pm,0,10.1094,16.823,527.4
07-Nov-24,09:15:00 pm,0,10.1081,16.800,526.9
07-Nov-24,09:30:00 pm,0,10.1065,16.778,526.5
07-Nov-24,09:45:00 pm,0,10.1057,16.755,526.7
07-Nov-24,10:00:00 pm,0,10.1056,16.729,526.3
07-Nov-24,10:15:00 pm,0,10.1060,16.704,525.9
07-Nov-24,10:30:00 pm,0,10.1047,16.681,524.5
07-Nov-24,10:45:00 pm,0,10.1030,16.654,523.4
07-Nov-24,11:00:00 pm,0,10.1026,16.630,522.6
