"Plot Title: Cowan Cummunity Center"
"#","Date Time, GMT-05:00","Wind Direction, ø (LGR S/N: 21920235, SEN S/N: 21873582)","Wind Speed, mph (LGR S/N: 21920235, SEN S/N: 21877366)","Gust Speed, mph (LGR S/N: 21920235, SEN S/N: 21877366)","Temp, °F (LGR S/N: 21920235, SEN S/N: 21901390)","RH, % (LGR S/N: 21920235, SEN S/N: 21901390)","Rain, in (LGR S/N: 21920235, SEN S/N: 21920227)"
1,12/13/24 11:35:54 AM,227.4,0.00,0.00,39.321,81.944,
2,12/13/24 11:50:54 AM,224.6,0.00,0.00,39.745,81.135,0.000
3,12/13/24 12:05:54 PM,223.2,0.00,0.00,41.700,78.776,0.000
4,12/13/24 12:20:54 PM,223.2,0.00,0.00,43.041,77.960,0.000
5,12/13/24 12:35:54 PM,223.2,0.00,0.00,42.699,80.674,0.000
6,12/13/24 12:50:54 PM,221.8,0.00,1.12,42.521,83.064,0.000
7,12/13/24 01:05:54 PM,193.7,0.00,0.00,43.038,82.756,0.000
8,12/13/24 01:20:54 PM,80.0,0.00,0.00,44.310,81.175,0.000
9,12/13/24 01:35:54 PM,80.0,0.00,0.00,45.131,80.887,0.000
10,12/13/24 01:50:54 PM,80.0,0.00,0.00,45.441,81.154,0.000
11,12/13/24 02:05:54 PM,80.0,0.00,0.00,45.513,81.979,0.000
12,12/13/24 02:20:54 PM,80.0,0.00,0.00,45.783,82.568,0.000
13,12/13/24 02:35:54 PM,80.0,0.00,0.00,45.961,83.697,0.000
14,12/13/24 02:50:54 PM,80.0,0.00,0.00,45.748,83.528,0.000
15,12/13/24 03:05:54 PM,80.0,0.00,0.00,45.550,83.218,0.000
16,12/13/24 03:20:54 PM,80.0,0.00,0.00,44.967,83.966,0.000
17,12/13/24 03:35:54 PM,80.0,0.00,0.00,44.692,83.459,0.000
18,12/13/24 03:50:54 PM,92.7,0.00,0.00,44.146,85.003,0.000
19,12/13/24 04:05:54 PM,116.5,0.00,0.00,43.675,87.507,0.000
20,12/13/24 04:20:54 PM,154.4,0.00,0.00,43.322,86.902,0.000
21,12/13/24 04:35:54 PM,171.3,0.00,0.00,42.598,87.893,0.000
22,12/13/24 04:50:54 PM,171.3,0.00,0.00,41.657,89.271,0.000
23,12/13/24 05:05:54 PM,171.3,0.00,0.00,40.615,90.532,0.000
24,12/13/24 05:20:54 PM,171.3,0.00,0.00,39.742,91.829,0.000
25,12/13/24 05:35:54 PM,171.3,0.00,0.00,38.766,92.706,0.000
26,12/13/24 05:50:54 PM,171.3,0.00,0.00,38.008,93.512,0.000
27,12/13/24 06:05:54 PM,171.3,0.00,0.00,37.270,94.388,0.000
28,12/13/24 06:20:54 PM,171.3,0.00,0.00,36.498,94.817,0.000
29,12/13/24 06:35:54 PM,171.3,0.00,0.00,36.064,96.056,0.000
30,12/13/24 06:50:54 PM,171.3,0.00,0.00,35.505,96.103,0.000
31,12/13/24 07:05:54 PM,169.9,0.00,0.00,35.224,96.770,0.000
32,12/13/24 07:20:54 PM,167.1,0.00,0.00,34.761,96.786,0.000
33,12/13/24 07:35:54 PM,167.1,0.00,0.00,34.066,97.249,0.000
34,12/13/24 07:50:54 PM,167.1,0.00,0.00,33.723,97.850,0.000
35,12/13/24 08:05:54 PM,167.1,0.00,0.00,33.237,98.099,0.000
