Serial_number:
1090672
Project ID:

Location:

LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
CONDUCTIVITY
UNIT: µS/cm
Date,Time,ms,LEVEL,TEMPERATURE,CONDUCTIVITY
13-Dec-24,09:51:15 am,0,10.1556,7.583,120.6
13-Dec-24,09:56:15 am,0,10.1575,7.055,162.7
13-Dec-24,10:01:15 am,0,10.1570,7.648,218.3
13-Dec-24,10:06:15 am,0,10.1443,7.115,211.3
13-Dec-24,10:11:15 am,0,10.1277,6.545,170.9
13-Dec-24,10:16:15 am,0,10.1283,6.196,150.9
13-Dec-24,10:21:15 am,0,10.1398,4.810,29.7
13-Dec-24,10:26:15 am,0,10.1337,1.059,51.3
13-Dec-24,10:31:15 am,0,10.3186,4.288,36.9
13-Dec-24,10:36:15 am,0,10.3197,4.763,39.0
13-Dec-24,10:41:15 am,0,10.3192,4.863,48.3
13-Dec-24,10:46:15 am,0,10.3191,4.926,48.9
13-Dec-24,10:51:15 am,0,10.3188,4.978,46.5
13-Dec-24,10:56:15 am,0,10.3189,5.021,46.0
13-Dec-24,11:01:15 am,0,10.3184,5.055,45.8
13-Dec-24,11:06:15 am,0,10.3169,5.082,45.6
13-Dec-24,11:11:15 am,0,10.3161,5.110,45.5
13-Dec-24,11:16:15 am,0,10.3151,5.132,45.3
13-Dec-24,11:21:15 am,0,10.3141,5.151,44.8
13-Dec-24,11:26:15 am,0,10.3136,5.175,43.8
13-Dec-24,11:31:15 am,0,10.3136,5.195,43.5
13-Dec-24,11:36:15 am,0,10.3132,5.214,43.4
13-Dec-24,11:41:15 am,0,10.3120,5.233,43.4
13-Dec-24,11:46:15 am,0,10.3113,5.251,43.4
13-Dec-24,11:51:15 am,0,10.3104,5.267,43.3
13-Dec-24,11:56:15 am,0,10.3096,5.283,43.3
13-Dec-24,12:01:15 pm,0,10.3091,5.300,43.3
13-Dec-24,12:06:15 pm,0,10.3080,5.319,43.2
13-Dec-24,12:11:15 pm,0,10.3076,5.339,43.1
13-Dec-24,12:16:15 pm,0,10.3068,5.358,43.0
13-Dec-24,12:21:15 pm,0,10.3072,5.375,42.7
13-Dec-24,12:26:15 pm,0,10.3073,5.394,42.4
13-Dec-24,12:31:15 pm,0,10.3073,5.409,42.2
13-Dec-24,12:36:15 pm,0,10.3073,5.424,42.2
13-Dec-24,12:41:15 pm,0,10.3066,5.441,42.2
13-Dec-24,12:46:15 pm,0,10.3058,5.458,42.3
13-Dec-24,12:51:15 pm,0,10.3049,5.470,42.3
13-Dec-24,12:56:15 pm,0,10.3045,5.487,42.2
13-Dec-24,01:01:15 pm,0,10.3043,5.501,42.3
13-Dec-24,01:06:15 pm,0,10.3039,5.517,42.4
13-Dec-24,01:11:15 pm,0,10.3030,5.532,42.4
13-Dec-24,01:16:15 pm,0,10.3023,5.555,42.3
13-Dec-24,01:21:15 pm,0,10.3019,5.572,42.4
13-Dec-24,01:26:15 pm,0,10.3006,5.583,42.3
13-Dec-24,01:31:15 pm,0,10.3007,5.602,42.2
13-Dec-24,01:36:15 pm,0,10.2995,5.618,42.2
13-Dec-24,01:41:15 pm,0,10.2989,5.635,42.2
13-Dec-24,01:46:15 pm,0,10.2988,5.654,42.2
13-Dec-24,01:51:15 pm,0,10.2991,5.670,42.0
13-Dec-24,01:56:15 pm,0,10.2988,5.682,42.0
13-Dec-24,02:01:15 pm,0,10.2988,5.705,41.8
13-Dec-24,02:06:15 pm,0,10.2988,5.724,41.7
13-Dec-24,02:11:15 pm,0,10.2989,5.744,41.6
13-Dec-24,02:16:15 pm,0,10.2990,5.761,41.5
13-Dec-24,02:21:15 pm,0,10.2991,5.780,41.5
13-Dec-24,02:26:15 pm,0,10.2989,5.792,41.5
13-Dec-24,02:31:15 pm,0,10.2992,5.806,41.4
13-Dec-24,02:36:15 pm,0,10.2989,5.820,41.2
13-Dec-24,02:41:15 pm,0,10.2986,5.833,41.2
13-Dec-24,02:46:15 pm,0,10.2991,5.845,41.1
13-Dec-24,02:51:15 pm,0,10.2992,5.850,41.1
13-Dec-24,02:56:15 pm,0,10.2989,5.853,41.1
13-Dec-24,03:01:15 pm,0,10.2982,5.862,41.2
13-Dec-24,03:06:15 pm,0,10.2976,5.869,41.3
13-Dec-24,03:11:15 pm,0,10.2969,5.879,41.2
13-Dec-24,03:16:15 pm,0,10.2981,5.884,41.3
13-Dec-24,03:21:15 pm,0,10.2976,5.887,41.4
13-Dec-24,03:26:15 pm,0,10.2977,5.896,41.6
13-Dec-24,03:31:15 pm,0,10.2980,5.901,41.7
13-Dec-24,03:36:15 pm,0,10.2981,5.911,41.7
13-Dec-24,03:41:15 pm,0,10.2986,5.918,41.7
13-Dec-24,03:46:15 pm,0,10.2988,5.926,41.6
