Serial_number:
1090587
Project ID:

Location:

LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
CONDUCTIVITY
UNIT: µS/cm
Date,Time,ms,LEVEL,TEMPERATURE,CONDUCTIVITY
2/7/2025,12:42:54 pm,0,9.9202,9.768,0.0
2/7/2025,12:47:54 pm,0,10.2375,9.211,62.2
2/7/2025,12:52:54 pm,0,10.2314,9.148,62.2
2/7/2025,12:57:54 pm,0,10.2406,9.173,62.3
2/7/2025,01:02:54 pm,0,10.2304,9.197,62.3
2/7/2025,01:07:54 pm,0,10.2307,9.221,62.4
2/7/2025,01:12:54 pm,0,10.2300,9.249,62.4
2/7/2025,01:17:54 pm,0,10.2257,9.265,62.4
2/7/2025,01:22:54 pm,0,10.2193,9.276,62.5
2/7/2025,01:27:54 pm,0,10.2299,9.289,62.5
2/7/2025,01:32:54 pm,0,10.2270,9.304,62.5
2/7/2025,01:37:54 pm,0,10.2325,9.321,62.7
2/7/2025,01:42:54 pm,0,10.2249,9.335,62.5
2/7/2025,01:47:54 pm,0,10.2352,9.351,62.4
2/7/2025,01:52:54 pm,0,10.2194,9.357,62.4
2/7/2025,01:57:54 pm,0,10.2278,9.360,62.6
2/7/2025,02:02:54 pm,0,10.2305,9.371,62.5
2/7/2025,02:07:54 pm,0,10.2290,9.374,62.4
2/7/2025,02:12:54 pm,0,10.2249,9.376,62.3
2/7/2025,02:17:54 pm,0,10.2192,9.380,62.2
2/7/2025,02:22:54 pm,0,10.2081,9.377,62.3
2/7/2025,02:27:54 pm,0,10.2120,9.378,62.2
2/7/2025,02:32:54 pm,0,10.2111,9.375,62.1
2/7/2025,02:37:54 pm,0,10.2174,9.372,62.0
2/7/2025,02:42:54 pm,0,10.2130,9.370,62.1
2/7/2025,02:47:54 pm,0,10.2127,9.364,62.0
2/7/2025,02:52:54 pm,0,10.2087,9.357,61.8
2/7/2025,02:57:54 pm,0,10.2109,9.346,61.8
2/7/2025,03:02:54 pm,0,10.2161,9.337,61.9
2/7/2025,03:07:54 pm,0,10.2153,9.325,61.7
2/7/2025,03:12:54 pm,0,10.2163,9.308,61.7
2/7/2025,03:17:54 pm,0,10.2151,9.294,61.5
2/7/2025,03:22:54 pm,0,10.2155,9.282,61.6
2/7/2025,03:27:54 pm,0,10.2156,9.270,61.5
2/7/2025,03:32:54 pm,0,10.2096,9.251,61.5
2/7/2025,03:37:54 pm,0,10.2131,9.233,61.4
2/7/2025,03:42:54 pm,0,10.2080,9.221,61.4
2/7/2025,03:47:54 pm,0,10.2146,9.204,59.9
2/7/2025,03:52:54 pm,0,10.2108,9.182,61.5
2/7/2025,03:57:54 pm,0,10.2138,9.158,61.3
2/7/2025,04:02:54 pm,0,10.2117,9.133,60.0
2/7/2025,04:07:54 pm,0,10.2103,9.113,63.0
2/7/2025,04:12:54 pm,0,10.2098,9.087,65.6
2/7/2025,04:17:54 pm,0,10.2031,9.064,67.1
2/7/2025,04:22:54 pm,0,10.2029,9.040,66.0
2/7/2025,04:27:54 pm,0,10.2109,9.015,67.0
2/7/2025,04:32:54 pm,0,10.2119,8.994,65.9
2/7/2025,04:37:54 pm,0,10.2060,8.970,64.4
2/7/2025,04:42:54 pm,0,10.2069,8.942,63.2
2/7/2025,04:47:54 pm,0,10.2074,8.916,62.3
2/7/2025,04:52:54 pm,0,10.2017,8.900,62.0
2/7/2025,04:57:54 pm,0,10.2044,8.886,59.9
2/7/2025,05:02:54 pm,0,10.2053,8.874,59.8
2/7/2025,05:07:54 pm,0,10.2084,8.864,61.1
2/7/2025,05:12:54 pm,0,10.2032,8.855,59.5
2/7/2025,05:17:54 pm,0,10.2062,8.847,61.0
2/7/2025,05:22:54 pm,0,10.2023,8.843,60.9
2/7/2025,05:27:54 pm,0,10.2067,8.835,60.8
2/7/2025,05:32:54 pm,0,10.2072,8.824,60.7
2/7/2025,05:37:54 pm,0,10.2073,8.814,60.6
2/7/2025,05:42:54 pm,0,10.2040,8.807,60.5
2/7/2025,05:47:54 pm,0,10.2075,8.798,60.5
2/7/2025,05:52:54 pm,0,10.2050,8.792,60.7
2/7/2025,05:57:54 pm,0,10.2045,8.783,60.6
2/7/2025,06:02:54 pm,0,10.2033,8.776,60.6
