Serial_number:
2160082
Project ID:

Location:

LEVEL
UNIT: kPa
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
11/7/2024,11:41:16 am,0,98.2694,24.320
11/7/2024,11:56:16 am,0,98.2404,25.889
11/7/2024,12:11:16 pm,0,98.2157,25.685
11/7/2024,12:26:16 pm,0,98.1918,25.959
11/7/2024,12:41:16 pm,0,98.1724,26.438
11/7/2024,12:56:16 pm,0,98.1423,26.302
11/7/2024,01:11:16 pm,0,98.1326,26.501
11/7/2024,01:26:16 pm,0,98.1139,27.362
11/7/2024,01:41:16 pm,0,98.0989,27.029
11/7/2024,01:56:16 pm,0,98.1027,26.396
11/7/2024,02:11:16 pm,0,97.9904,31.778
11/7/2024,02:26:16 pm,0,98.0721,33.637
11/7/2024,02:41:16 pm,0,98.0850,31.884
11/7/2024,02:56:16 pm,0,98.0977,28.475
11/7/2024,03:11:16 pm,0,98.0930,26.576
11/7/2024,03:26:16 pm,0,98.0826,25.816
11/7/2024,03:41:16 pm,0,98.0854,24.885
11/7/2024,03:56:16 pm,0,98.0872,24.873
11/7/2024,04:11:16 pm,0,98.0894,24.421
11/7/2024,04:26:16 pm,0,98.0865,23.922
11/7/2024,04:41:16 pm,0,98.0881,23.601
11/7/2024,04:56:16 pm,0,98.1072,23.139
11/7/2024,05:11:16 pm,0,98.1170,22.518
11/7/2024,05:26:16 pm,0,98.1207,22.184
11/7/2024,05:41:16 pm,0,98.1222,21.978
11/7/2024,05:56:16 pm,0,98.1429,21.878
11/7/2024,06:11:16 pm,0,98.1486,21.601
11/7/2024,06:26:16 pm,0,98.1625,20.345
11/7/2024,06:41:16 pm,0,98.1885,20.009
11/7/2024,06:56:16 pm,0,98.2054,19.842
11/7/2024,07:11:16 pm,0,98.2141,20.240
11/7/2024,07:26:16 pm,0,98.2237,20.130
11/7/2024,07:41:16 pm,0,98.2244,20.062
11/7/2024,07:56:16 pm,0,98.2180,20.196
11/7/2024,08:11:16 pm,0,98.2293,20.016
11/7/2024,08:26:16 pm,0,98.2233,20.199
11/7/2024,08:41:16 pm,0,98.2243,20.252
11/7/2024,08:56:16 pm,0,98.2336,20.121
11/7/2024,09:11:16 pm,0,98.2217,20.026
11/7/2024,09:26:16 pm,0,98.2134,19.887
11/7/2024,09:41:16 pm,0,98.1992,19.778
11/7/2024,09:56:16 pm,0,98.1979,19.558
11/7/2024,10:11:16 pm,0,98.1988,19.516
11/7/2024,10:26:16 pm,0,98.1932,19.541
11/7/2024,10:41:16 pm,0,98.1742,19.345
11/7/2024,10:56:16 pm,0,98.1653,19.219
11/7/2024,11:11:16 pm,0,98.1632,19.006
11/7/2024,11:26:16 pm,0,98.1570,18.762
11/7/2024,11:41:16 pm,0,98.1525,18.714
11/7/2024,11:56:16 pm,0,98.1657,18.931
11/8/2024,12:11:16 am,0,98.1848,18.657
11/8/2024,12:26:16 am,0,98.1787,18.354
11/8/2024,12:41:16 am,0,98.1644,18.063
11/8/2024,12:56:16 am,0,98.1692,17.886
11/8/2024,01:11:16 am,0,98.1820,17.709
11/8/2024,01:26:16 am,0,98.1804,17.505
11/8/2024,01:41:16 am,0,98.1945,17.351
11/8/2024,01:56:16 am,0,98.2014,17.272
11/8/2024,02:11:16 am,0,98.2071,17.182
11/8/2024,02:26:16 am,0,98.2073,17.058
11/8/2024,02:41:16 am,0,98.2140,16.922
11/8/2024,02:56:16 am,0,98.2120,16.754
11/8/2024,03:11:16 am,0,98.2202,16.691
11/8/2024,03:26:16 am,0,98.2140,16.563
11/8/2024,03:41:16 am,0,98.2095,16.466
11/8/2024,03:56:16 am,0,98.2194,16.408
11/8/2024,04:11:16 am,0,98.2355,16.359
11/8/2024,04:26:16 am,0,98.2289,16.353
11/8/2024,04:41:16 am,0,98.2299,16.332
11/8/2024,04:56:16 am,0,98.2214,16.302
11/8/2024,05:11:16 am,0,98.2318,16.225
11/8/2024,05:26:16 am,0,98.2397,16.129
11/8/2024,05:41:16 am,0,98.2540,16.062
11/8/2024,05:56:16 am,0,98.2420,16.009
11/8/2024,06:11:16 am,0,98.2339,15.989
11/8/2024,06:26:16 am,0,98.2227,15.974
11/8/2024,06:41:16 am,0,98.2456,15.937
11/8/2024,06:56:16 am,0,98.2539,15.903
11/8/2024,07:11:16 am,0,98.2599,15.885
11/8/2024,07:26:16 am,0,98.2720,15.891
11/8/2024,07:41:16 am,0,98.2764,15.940
11/8/2024,07:56:16 am,0,98.3048,16.038
11/8/2024,08:11:16 am,0,98.3406,16.074
11/8/2024,08:26:16 am,0,98.3272,16.169
11/8/2024,08:41:16 am,0,98.3300,16.362
11/8/2024,08:56:16 am,0,98.3316,16.303
11/8/2024,09:11:16 am,0,98.3326,16.125
11/8/2024,09:26:16 am,0,98.3399,16.208
11/8/2024,09:41:16 am,0,98.3406,16.239
11/8/2024,09:56:16 am,0,98.3512,16.382
11/8/2024,10:11:16 am,0,98.3561,16.513
11/8/2024,10:26:16 am,0,98.3640,16.648
11/8/2024,10:41:16 am,0,98.3663,16.678
11/8/2024,10:56:16 am,0,98.3665,16.423
11/8/2024,11:11:16 am,0,98.3774,16.185
11/8/2024,11:26:16 am,0,98.3709,15.925
11/8/2024,11:41:16 am,0,98.3508,15.919
11/8/2024,11:56:16 am,0,98.3499,16.132
11/8/2024,12:11:16 pm,0,98.3364,16.506
11/8/2024,12:26:16 pm,0,98.3303,16.621
11/8/2024,12:41:16 pm,0,98.3297,16.572
11/8/2024,12:56:16 pm,0,98.3247,16.321
11/8/2024,01:11:16 pm,0,98.3176,16.063
11/8/2024,01:26:16 pm,0,98.3163,16.147
11/8/2024,01:41:16 pm,0,98.3024,16.239
11/8/2024,01:56:16 pm,0,98.3027,16.148
11/8/2024,02:11:16 pm,0,98.3122,16.008
11/8/2024,02:26:16 pm,0,98.2959,16.226
11/8/2024,02:41:16 pm,0,98.2984,16.067
11/8/2024,02:56:16 pm,0,98.3022,16.230
11/8/2024,03:11:16 pm,0,98.2773,16.131
11/8/2024,03:26:16 pm,0,98.2827,16.347
11/8/2024,03:41:16 pm,0,98.2820,16.873
11/8/2024,03:56:16 pm,0,98.2782,16.512
11/8/2024,04:11:16 pm,0,98.2947,15.945
11/8/2024,04:26:16 pm,0,98.2995,15.427
11/8/2024,04:41:16 pm,0,98.2930,14.945
11/8/2024,04:56:16 pm,0,98.2789,14.441
11/8/2024,05:11:16 pm,0,98.2812,13.969
11/8/2024,05:26:16 pm,0,98.3003,13.523
11/8/2024,05:41:16 pm,0,98.3195,13.121
11/8/2024,05:56:16 pm,0,98.3621,12.750
11/8/2024,06:11:16 pm,0,98.3772,12.429
11/8/2024,06:26:16 pm,0,98.4071,12.166
11/8/2024,06:41:16 pm,0,98.3868,11.875
11/8/2024,06:56:16 pm,0,98.3595,11.674
11/8/2024,07:11:16 pm,0,98.3779,11.575
11/8/2024,07:26:16 pm,0,98.3754,11.553
11/8/2024,07:41:16 pm,0,98.3745,11.659
11/8/2024,07:56:16 pm,0,98.3801,11.842
11/8/2024,08:11:16 pm,0,98.3727,11.984
11/8/2024,08:26:16 pm,0,98.3824,12.003
11/8/2024,08:41:16 pm,0,98.3764,12.003
11/8/2024,08:56:16 pm,0,98.3898,12.122
11/8/2024,09:11:16 pm,0,98.3989,12.153
11/8/2024,09:26:16 pm,0,98.4086,12.081
11/8/2024,09:41:16 pm,0,98.4081,12.098
11/8/2024,09:56:16 pm,0,98.3954,12.055
11/8/2024,10:11:16 pm,0,98.4234,11.992
11/8/2024,10:26:16 pm,0,98.4116,11.939
11/8/2024,10:41:16 pm,0,98.4260,11.934
11/8/2024,10:56:16 pm,0,98.4265,11.839
11/8/2024,11:11:16 pm,0,98.4292,11.833
11/8/2024,11:26:16 pm,0,98.4367,11.778
11/8/2024,11:41:16 pm,0,98.4299,11.677
11/8/2024,11:56:16 pm,0,98.4367,11.619
11/9/2024,12:11:16 am,0,98.4432,11.618
11/9/2024,12:26:16 am,0,98.4496,11.589
11/9/2024,12:41:16 am,0,98.4426,11.643
11/9/2024,12:56:16 am,0,98.4350,11.663
11/9/2024,01:11:16 am,0,98.4018,11.624
11/9/2024,01:26:16 am,0,98.3863,11.573
11/9/2024,01:41:16 am,0,98.3905,11.390
11/9/2024,01:56:16 am,0,98.4031,11.235
11/9/2024,02:11:16 am,0,98.3941,11.180
11/9/2024,02:26:16 am,0,98.4050,11.016
11/9/2024,02:41:16 am,0,98.3943,10.872
11/9/2024,02:56:16 am,0,98.3622,10.777
11/9/2024,03:11:16 am,0,98.3737,10.613
11/9/2024,03:26:16 am,0,98.3552,10.598
11/9/2024,03:41:16 am,0,98.3518,10.405
11/9/2024,03:56:16 am,0,98.3405,10.299
11/9/2024,04:11:16 am,0,98.3533,9.997
11/9/2024,04:26:16 am,0,98.3806,9.894
11/9/2024,04:41:16 am,0,98.3896,9.786
11/9/2024,04:56:16 am,0,98.4057,9.755
11/9/2024,05:11:16 am,0,98.4335,9.759
11/9/2024,05:26:16 am,0,98.4476,9.721
11/9/2024,05:41:16 am,0,98.4238,9.489
11/9/2024,05:56:16 am,0,98.4037,9.303
11/9/2024,06:11:16 am,0,98.4059,9.360
11/9/2024,06:26:16 am,0,98.4119,9.278
11/9/2024,06:41:16 am,0,98.3805,9.072
11/9/2024,06:56:16 am,0,98.3840,9.141
11/9/2024,07:11:16 am,0,98.3867,9.061
11/9/2024,07:26:16 am,0,98.4402,9.159
11/9/2024,07:41:16 am,0,98.4520,9.079
11/9/2024,07:56:16 am,0,98.4459,9.183
11/9/2024,08:11:16 am,0,98.4605,9.433
11/9/2024,08:26:16 am,0,98.4724,9.596
11/9/2024,08:41:16 am,0,98.4796,9.902
11/9/2024,08:56:16 am,0,98.4866,10.410
11/9/2024,09:11:16 am,0,98.4759,10.192
11/9/2024,09:26:16 am,0,98.4489,9.874
11/9/2024,09:41:16 am,0,98.4316,9.695
11/9/2024,09:56:16 am,0,98.4260,9.807
11/9/2024,10:11:16 am,0,98.3973,10.161
11/9/2024,10:26:16 am,0,98.3900,10.680
11/9/2024,10:41:16 am,0,98.3845,11.321
11/9/2024,10:56:16 am,0,98.3764,12.050
11/9/2024,11:11:16 am,0,98.3461,13.082
11/9/2024,11:26:16 am,0,98.3126,15.328
11/9/2024,11:41:16 am,0,98.2952,17.304
11/9/2024,11:56:16 am,0,98.2680,18.800
11/9/2024,12:11:16 pm,0,98.2571,19.493
11/9/2024,12:26:16 pm,0,98.2400,20.279
11/9/2024,12:41:16 pm,0,98.2254,21.016
11/9/2024,12:56:16 pm,0,98.1889,24.010
11/9/2024,01:11:16 pm,0,98.1973,25.015
11/9/2024,01:26:16 pm,0,98.1987,25.345
11/9/2024,01:41:16 pm,0,98.2135,23.520
11/9/2024,01:56:16 pm,0,98.1511,27.830
11/9/2024,02:11:16 pm,0,98.1234,37.318
11/9/2024,02:26:16 pm,0,98.2537,31.371
11/9/2024,02:41:16 pm,0,98.1973,28.515
11/9/2024,02:56:16 pm,0,98.1965,25.596
11/9/2024,03:11:16 pm,0,98.1846,23.439
11/9/2024,03:26:16 pm,0,98.1794,21.749
11/9/2024,03:41:16 pm,0,98.1727,20.887
11/9/2024,03:56:16 pm,0,98.1735,20.453
11/9/2024,04:11:16 pm,0,98.1775,20.107
11/9/2024,04:26:16 pm,0,98.1702,19.609
11/9/2024,04:41:16 pm,0,98.1803,19.046
11/9/2024,04:56:16 pm,0,98.1859,18.473
11/9/2024,05:11:16 pm,0,98.1942,17.915
11/9/2024,05:26:16 pm,0,98.1983,17.272
11/9/2024,05:41:16 pm,0,98.1952,16.655
11/9/2024,05:56:16 pm,0,98.2027,16.143
11/9/2024,06:11:16 pm,0,98.2053,15.611
11/9/2024,06:26:16 pm,0,98.2079,15.181
11/9/2024,06:41:16 pm,0,98.2225,14.846
11/9/2024,06:56:16 pm,0,98.2212,14.617
11/9/2024,07:11:16 pm,0,98.2009,14.529
11/9/2024,07:26:16 pm,0,98.1948,14.472
11/9/2024,07:41:16 pm,0,98.1943,14.466
11/9/2024,07:56:16 pm,0,98.1951,14.379
11/9/2024,08:11:16 pm,0,98.1974,14.131
11/9/2024,08:26:16 pm,0,98.1947,13.917
11/9/2024,08:41:16 pm,0,98.1818,13.777
11/9/2024,08:56:16 pm,0,98.1865,13.677
11/9/2024,09:11:16 pm,0,98.2067,13.604
11/9/2024,09:26:16 pm,0,98.2138,13.538
11/9/2024,09:41:16 pm,0,98.2008,13.527
11/9/2024,09:56:16 pm,0,98.1957,13.520
11/9/2024,10:11:16 pm,0,98.1904,13.510
11/9/2024,10:26:16 pm,0,98.1800,13.521
11/9/2024,10:41:16 pm,0,98.1739,13.543
11/9/2024,10:56:16 pm,0,98.1592,13.559
11/9/2024,11:11:16 pm,0,98.1563,13.492
11/9/2024,11:26:16 pm,0,98.1750,13.333
11/9/2024,11:41:16 pm,0,98.1576,13.251
11/9/2024,11:56:16 pm,0,98.1649,13.261
11/10/2024,12:11:16 am,0,98.1567,13.260
11/10/2024,12:26:16 am,0,98.1592,13.278
11/10/2024,12:41:16 am,0,98.1445,13.280
11/10/2024,12:56:16 am,0,98.1414,13.312
11/10/2024,01:11:16 am,0,98.1437,13.375
11/10/2024,01:26:16 am,0,98.1192,13.415
11/10/2024,01:41:16 am,0,98.1118,13.411
11/10/2024,01:56:16 am,0,98.1440,13.509
11/10/2024,02:11:16 am,0,98.1403,13.549
11/10/2024,02:26:16 am,0,98.1291,13.685
11/10/2024,02:41:16 am,0,98.1255,13.617
11/10/2024,02:56:16 am,0,98.1255,13.547
11/10/2024,03:11:16 am,0,98.0927,13.506
11/10/2024,03:26:16 am,0,98.0890,13.492
11/10/2024,03:41:16 am,0,98.0822,13.489
11/10/2024,03:56:16 am,0,98.0497,13.599
11/10/2024,04:11:16 am,0,98.0248,13.582
11/10/2024,04:26:16 am,0,98.0286,13.599
11/10/2024,04:41:16 am,0,98.0344,13.802
11/10/2024,04:56:16 am,0,98.0498,13.951
11/10/2024,05:11:16 am,0,98.0608,14.001
11/10/2024,05:26:16 am,0,98.0643,14.042
11/10/2024,05:41:16 am,0,98.0591,14.018
11/10/2024,05:56:16 am,0,98.0568,13.966
11/10/2024,06:11:16 am,0,98.0205,13.859
11/10/2024,06:26:16 am,0,98.0195,13.824
11/10/2024,06:41:16 am,0,98.0205,13.856
11/10/2024,06:56:16 am,0,98.0029,13.962
11/10/2024,07:11:16 am,0,97.9854,14.056
11/10/2024,07:26:16 am,0,97.9573,14.102
11/10/2024,07:41:16 am,0,97.9412,14.261
11/10/2024,07:56:16 am,0,97.9228,14.646
11/10/2024,08:11:16 am,0,97.9232,15.389
11/10/2024,08:26:16 am,0,97.8864,15.860
11/10/2024,08:41:16 am,0,97.9063,17.336
11/10/2024,08:56:16 am,0,97.9155,18.426
11/10/2024,09:11:16 am,0,97.9332,18.725
11/10/2024,09:26:16 am,0,97.9606,18.890
11/10/2024,09:41:16 am,0,97.9083,19.143
11/10/2024,09:56:16 am,0,97.9165,19.329
11/10/2024,10:11:16 am,0,97.9107,19.438
11/10/2024,10:26:16 am,0,97.9182,19.687
11/10/2024,10:41:16 am,0,97.8912,20.251
11/10/2024,10:56:16 am,0,97.8916,20.591
11/10/2024,11:11:16 am,0,97.9016,20.626
11/10/2024,11:26:16 am,0,97.9040,20.899
11/10/2024,11:41:16 am,0,97.9065,20.726
11/10/2024,11:56:16 am,0,97.8815,21.074
11/10/2024,12:11:16 pm,0,97.8577,21.233
11/10/2024,12:26:16 pm,0,97.8266,22.315
11/10/2024,12:41:16 pm,0,97.8006,23.767
11/10/2024,12:56:16 pm,0,97.7683,23.592
11/10/2024,01:11:16 pm,0,97.7567,24.125
11/10/2024,01:26:16 pm,0,97.7360,25.059
11/10/2024,01:41:16 pm,0,97.7142,27.197
11/10/2024,01:56:16 pm,0,97.7503,25.833
11/10/2024,02:11:16 pm,0,97.6800,28.186
11/10/2024,02:26:16 pm,0,97.7111,25.592
11/10/2024,02:41:16 pm,0,97.7059,23.997
11/10/2024,02:56:16 pm,0,97.6614,23.421
11/10/2024,03:11:16 pm,0,97.6460,23.170
11/10/2024,03:26:16 pm,0,97.6455,22.699
11/10/2024,03:41:16 pm,0,97.6318,22.403
11/10/2024,03:56:16 pm,0,97.6196,21.982
11/10/2024,04:11:16 pm,0,97.6405,21.605
11/10/2024,04:26:16 pm,0,97.6394,21.308
11/10/2024,04:41:16 pm,0,97.6290,21.109
11/10/2024,04:56:16 pm,0,97.6574,20.746
11/10/2024,05:11:16 pm,0,97.6660,20.551
11/10/2024,05:26:16 pm,0,97.6703,20.276
11/10/2024,05:41:16 pm,0,97.6649,20.133
11/10/2024,05:56:16 pm,0,97.6834,19.655
11/10/2024,06:11:16 pm,0,97.7045,19.453
11/10/2024,06:26:16 pm,0,97.6860,19.078
11/10/2024,06:41:16 pm,0,97.6843,18.814
11/10/2024,06:56:16 pm,0,97.6715,18.399
11/10/2024,07:11:16 pm,0,97.6669,17.993
11/10/2024,07:26:16 pm,0,97.6525,17.962
11/10/2024,07:41:16 pm,0,97.6478,17.684
11/10/2024,07:56:16 pm,0,97.6307,17.356
11/10/2024,08:11:16 pm,0,97.6255,17.171
11/10/2024,08:26:16 pm,0,97.6379,17.055
11/10/2024,08:41:16 pm,0,97.6233,17.071
11/10/2024,08:56:16 pm,0,97.6235,16.754
11/10/2024,09:11:16 pm,0,97.6263,16.933
11/10/2024,09:26:16 pm,0,97.6099,17.064
11/10/2024,09:41:16 pm,0,97.5871,17.297
11/10/2024,09:56:16 pm,0,97.5714,17.432
11/10/2024,10:11:16 pm,0,97.5818,17.596
11/10/2024,10:26:16 pm,0,97.5763,17.580
11/10/2024,10:41:16 pm,0,97.5798,17.628
11/10/2024,10:56:16 pm,0,97.5881,17.709
11/10/2024,11:11:16 pm,0,97.5928,17.463
11/10/2024,11:26:16 pm,0,97.5669,16.970
11/10/2024,11:41:16 pm,0,97.5497,16.745
11/10/2024,11:56:16 pm,0,97.5412,16.601
11/11/2024,12:11:16 am,0,97.5134,16.522
11/11/2024,12:26:16 am,0,97.5123,16.464
11/11/2024,12:41:16 am,0,97.4992,16.376
11/11/2024,12:56:16 am,0,97.4824,16.324
11/11/2024,01:11:16 am,0,97.4687,16.313
11/11/2024,01:26:16 am,0,97.4670,16.274
11/11/2024,01:41:16 am,0,97.4541,16.284
11/11/2024,01:56:16 am,0,97.4443,16.280
11/11/2024,02:11:16 am,0,97.4416,16.298
11/11/2024,02:26:16 am,0,97.4493,16.276
11/11/2024,02:41:16 am,0,97.4459,16.291
11/11/2024,02:56:16 am,0,97.4452,16.242
11/11/2024,03:11:16 am,0,97.4165,16.216
