Serial_number:
1090672
Project ID:

Location:

LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
CONDUCTIVITY
UNIT: µS/cm
Date,Time,ms,LEVEL,TEMPERATURE,CONDUCTIVITY
12/13/2024,09:51:15 am,0,10.1556,7.583,120.6
12/13/2024,09:56:15 am,0,10.1575,7.055,162.7
12/13/2024,10:01:15 am,0,10.1570,7.648,218.3
12/13/2024,10:06:15 am,0,10.1443,7.115,211.3
12/13/2024,10:11:15 am,0,10.1277,6.545,170.9
12/13/2024,10:16:15 am,0,10.1283,6.196,150.9
12/13/2024,10:21:15 am,0,10.1398,4.810,29.7
12/13/2024,10:26:15 am,0,10.1337,1.059,51.3
12/13/2024,10:31:15 am,0,10.3186,4.288,36.9
12/13/2024,10:36:15 am,0,10.3197,4.763,39.0
12/13/2024,10:41:15 am,0,10.3192,4.863,48.3
12/13/2024,10:46:15 am,0,10.3191,4.926,48.9
12/13/2024,10:51:15 am,0,10.3188,4.978,46.5
12/13/2024,10:56:15 am,0,10.3189,5.021,46.0
12/13/2024,11:01:15 am,0,10.3184,5.055,45.8
12/13/2024,11:06:15 am,0,10.3169,5.082,45.6
12/13/2024,11:11:15 am,0,10.3161,5.110,45.5
12/13/2024,11:16:15 am,0,10.3151,5.132,45.3
12/13/2024,11:21:15 am,0,10.3141,5.151,44.8
12/13/2024,11:26:15 am,0,10.3136,5.175,43.8
12/13/2024,11:31:15 am,0,10.3136,5.195,43.5
12/13/2024,11:36:15 am,0,10.3132,5.214,43.4
12/13/2024,11:41:15 am,0,10.3120,5.233,43.4
12/13/2024,11:46:15 am,0,10.3113,5.251,43.4
12/13/2024,11:51:15 am,0,10.3104,5.267,43.3
12/13/2024,11:56:15 am,0,10.3096,5.283,43.3
12/13/2024,12:01:15 pm,0,10.3091,5.300,43.3
12/13/2024,12:06:15 pm,0,10.3080,5.319,43.2
12/13/2024,12:11:15 pm,0,10.3076,5.339,43.1
12/13/2024,12:16:15 pm,0,10.3068,5.358,43.0
12/13/2024,12:21:15 pm,0,10.3072,5.375,42.7
12/13/2024,12:26:15 pm,0,10.3073,5.394,42.4
12/13/2024,12:31:15 pm,0,10.3073,5.409,42.2
12/13/2024,12:36:15 pm,0,10.3073,5.424,42.2
12/13/2024,12:41:15 pm,0,10.3066,5.441,42.2
12/13/2024,12:46:15 pm,0,10.3058,5.458,42.3
12/13/2024,12:51:15 pm,0,10.3049,5.470,42.3
12/13/2024,12:56:15 pm,0,10.3045,5.487,42.2
12/13/2024,01:01:15 pm,0,10.3043,5.501,42.3
12/13/2024,01:06:15 pm,0,10.3039,5.517,42.4
12/13/2024,01:11:15 pm,0,10.3030,5.532,42.4
12/13/2024,01:16:15 pm,0,10.3023,5.555,42.3
12/13/2024,01:21:15 pm,0,10.3019,5.572,42.4
12/13/2024,01:26:15 pm,0,10.3006,5.583,42.3
12/13/2024,01:31:15 pm,0,10.3007,5.602,42.2
12/13/2024,01:36:15 pm,0,10.2995,5.618,42.2
12/13/2024,01:41:15 pm,0,10.2989,5.635,42.2
12/13/2024,01:46:15 pm,0,10.2988,5.654,42.2
12/13/2024,01:51:15 pm,0,10.2991,5.670,42.0
12/13/2024,01:56:15 pm,0,10.2988,5.682,42.0
12/13/2024,02:01:15 pm,0,10.2988,5.705,41.8
12/13/2024,02:06:15 pm,0,10.2988,5.724,41.7
12/13/2024,02:11:15 pm,0,10.2989,5.744,41.6
12/13/2024,02:16:15 pm,0,10.2990,5.761,41.5
12/13/2024,02:21:15 pm,0,10.2991,5.780,41.5
12/13/2024,02:26:15 pm,0,10.2989,5.792,41.5
12/13/2024,02:31:15 pm,0,10.2992,5.806,41.4
12/13/2024,02:36:15 pm,0,10.2989,5.820,41.2
12/13/2024,02:41:15 pm,0,10.2986,5.833,41.2
12/13/2024,02:46:15 pm,0,10.2991,5.845,41.1
12/13/2024,02:51:15 pm,0,10.2992,5.850,41.1
12/13/2024,02:56:15 pm,0,10.2989,5.853,41.1
12/13/2024,03:01:15 pm,0,10.2982,5.862,41.2
12/13/2024,03:06:15 pm,0,10.2976,5.869,41.3
12/13/2024,03:11:15 pm,0,10.2969,5.879,41.2
12/13/2024,03:16:15 pm,0,10.2981,5.884,41.3
12/13/2024,03:21:15 pm,0,10.2976,5.887,41.4
12/13/2024,03:26:15 pm,0,10.2977,5.896,41.6
12/13/2024,03:31:15 pm,0,10.2980,5.901,41.7
12/13/2024,03:36:15 pm,0,10.2981,5.911,41.7
12/13/2024,03:41:15 pm,0,10.2986,5.918,41.7
12/13/2024,03:46:15 pm,0,10.2988,5.926,41.6
12/13/2024,03:51:15 pm,0,10.2981,5.925,41.6
12/13/2024,03:56:15 pm,0,10.2982,5.930,41.4
12/13/2024,04:01:15 pm,0,10.2989,5.935,41.1
12/13/2024,04:06:15 pm,0,10.2994,5.937,40.7
12/13/2024,04:11:15 pm,0,10.2999,5.939,40.5
12/13/2024,04:16:15 pm,0,10.3011,5.943,40.7
12/13/2024,04:21:15 pm,0,10.3012,5.946,40.9
12/13/2024,04:26:15 pm,0,10.3014,5.945,41.1
12/13/2024,04:31:15 pm,0,10.3010,5.946,40.9
12/13/2024,04:36:15 pm,0,10.3012,5.940,40.2
12/13/2024,04:41:15 pm,0,10.3008,5.940,40.2
12/13/2024,04:46:15 pm,0,10.3010,5.942,40.2
12/13/2024,04:51:15 pm,0,10.3008,5.941,40.2
12/13/2024,04:56:15 pm,0,10.3016,5.942,40.1
12/13/2024,05:01:15 pm,0,10.3024,5.937,40.0
12/13/2024,05:06:15 pm,0,10.3024,5.931,39.9
12/13/2024,05:11:15 pm,0,10.3025,5.929,40.0
12/13/2024,05:16:15 pm,0,10.3026,5.928,39.9
12/13/2024,05:21:15 pm,0,10.3029,5.922,40.2
12/13/2024,05:26:15 pm,0,10.3021,5.917,40.5
12/13/2024,05:31:15 pm,0,10.3022,5.914,40.4
12/13/2024,05:36:15 pm,0,10.3027,5.913,40.8
12/13/2024,05:41:15 pm,0,10.3030,5.911,40.1
12/13/2024,05:46:15 pm,0,10.3026,5.908,40.1
12/13/2024,05:51:15 pm,0,10.3030,5.903,40.1
12/13/2024,05:56:15 pm,0,10.3035,5.897,40.1
12/13/2024,06:01:15 pm,0,10.3036,5.895,40.0
