Serial_number:,,,,
2161676,,,,
Project ID:,,,,
,,,,
Location:,,,,
,,,,
LEVEL,,,,
UNIT: m,,,,
Offset: 0.000000 m,,,,
TEMPERATURE,,,,
UNIT: °C,,,,
Date,Time,ms,LEVEL,TEMPERATURE
07-Nov-24,12:23:58 PM,0,10.008,25.4
07-Nov-24,12:38:58 PM,0,10.086,17.3
07-Nov-24,12:53:58 PM,0,10.08,16.7
07-Nov-24,1:08:58 PM,0,10.079,16.7
07-Nov-24,1:23:58 PM,0,10.076,16.7
07-Nov-24,1:38:58 PM,0,10.076,16.8
07-Nov-24,1:53:58 PM,0,10.076,16.9
07-Nov-24,2:08:58 PM,0,10.071,17
07-Nov-24,2:23:58 PM,0,10.076,17.3
07-Nov-24,2:38:58 PM,0,10.077,17.4
07-Nov-24,2:53:58 PM,0,10.082,17.6
07-Nov-24,3:08:58 PM,0,10.082,17.6
07-Nov-24,3:23:58 PM,0,10.08,17.5
07-Nov-24,3:38:58 PM,0,10.08,17.5
07-Nov-24,3:53:58 PM,0,10.077,17.4
07-Nov-24,4:08:58 PM,0,10.077,17.4
07-Nov-24,4:23:58 PM,0,10.077,17.4
07-Nov-24,4:38:58 PM,0,10.076,17.4
07-Nov-24,4:53:58 PM,0,10.076,17.3
07-Nov-24,5:08:58 PM,0,10.074,17.2
07-Nov-24,5:23:58 PM,0,10.073,17.1
07-Nov-24,5:38:58 PM,0,10.077,17.1
07-Nov-24,5:53:58 PM,0,10.08,17
07-Nov-24,6:08:58 PM,0,10.083,16.9
07-Nov-24,6:23:58 PM,0,10.082,16.8
07-Nov-24,6:38:58 PM,0,10.086,16.8
07-Nov-24,6:53:58 PM,0,10.088,16.7
07-Nov-24,7:08:58 PM,0,10.091,16.7
07-Nov-24,7:23:58 PM,0,10.092,16.7
07-Nov-24,7:38:58 PM,0,10.092,16.6
07-Nov-24,7:53:58 PM,0,10.091,16.6
07-Nov-24,8:08:58 PM,0,10.092,16.6
07-Nov-24,8:23:58 PM,0,10.092,16.6
07-Nov-24,8:38:58 PM,0,10.094,16.6
07-Nov-24,8:53:58 PM,0,10.095,16.5
07-Nov-24,9:08:58 PM,0,10.095,16.5
07-Nov-24,9:23:58 PM,0,10.094,16.5
07-Nov-24,9:38:58 PM,0,10.092,16.5
07-Nov-24,9:53:58 PM,0,10.092,16.5
07-Nov-24,10:08:58 PM,0,10.091,16.4
07-Nov-24,10:23:58 PM,0,10.089,16.4
07-Nov-24,10:38:58 PM,0,10.088,16.4
07-Nov-24,10:53:58 PM,0,10.088,16.4
07-Nov-24,11:08:58 PM,0,10.088,16.4
07-Nov-24,11:23:58 PM,0,10.085,16.3
07-Nov-24,11:38:58 PM,0,10.085,16.3
07-Nov-24,11:53:58 PM,0,10.085,16.3
08-Nov-24,12:08:58 AM,0,10.085,16.3
08-Nov-24,12:23:58 AM,0,10.085,16.3
08-Nov-24,12:38:58 AM,0,10.083,16.3
08-Nov-24,12:53:58 AM,0,10.083,16.3
08-Nov-24,1:08:58 AM,0,10.083,16.2
08-Nov-24,1:23:58 AM,0,10.083,16.2
08-Nov-24,1:38:58 AM,0,10.083,16.2
08-Nov-24,1:53:58 AM,0,10.083,16.2
08-Nov-24,2:08:58 AM,0,10.083,16.1
08-Nov-24,2:23:58 AM,0,10.083,16.1
08-Nov-24,2:38:58 AM,0,10.088,16.1
08-Nov-24,2:53:58 AM,0,10.089,16.1
08-Nov-24,3:08:58 AM,0,10.089,16
08-Nov-24,3:23:58 AM,0,10.089,16
08-Nov-24,3:38:58 AM,0,10.089,16
08-Nov-24,3:53:58 AM,0,10.091,16
08-Nov-24,4:08:58 AM,0,10.094,16
08-Nov-24,4:23:58 AM,0,10.092,15.9
08-Nov-24,4:38:58 AM,0,10.092,15.9
08-Nov-24,4:53:58 AM,0,10.092,15.9
08-Nov-24,5:08:58 AM,0,10.092,15.9
08-Nov-24,5:23:58 AM,0,10.094,15.9
08-Nov-24,5:38:58 AM,0,10.095,15.8
08-Nov-24,5:53:58 AM,0,10.094,15.8
08-Nov-24,6:08:58 AM,0,10.094,15.8
08-Nov-24,6:23:58 AM,0,10.092,15.8
08-Nov-24,6:38:58 AM,0,10.094,15.8
08-Nov-24,6:53:58 AM,0,10.097,15.8
08-Nov-24,7:08:58 AM,0,10.097,15.7
08-Nov-24,7:23:58 AM,0,10.098,15.7
08-Nov-24,7:38:58 AM,0,10.098,15.7
08-Nov-24,7:53:58 AM,0,10.104,15.7
08-Nov-24,8:08:58 AM,0,10.107,15.7
08-Nov-24,8:23:58 AM,0,10.107,15.7
08-Nov-24,8:38:58 AM,0,10.107,15.7
08-Nov-24,8:53:58 AM,0,10.106,15.7
08-Nov-24,9:08:58 AM,0,10.106,15.7
08-Nov-24,9:23:58 AM,0,10.106,15.7
08-Nov-24,9:38:58 AM,0,10.106,15.7
08-Nov-24,9:53:58 AM,0,10.106,15.7
08-Nov-24,10:08:58 AM,0,10.106,15.7
08-Nov-24,10:23:58 AM,0,10.107,15.8
08-Nov-24,10:38:58 AM,0,10.107,15.8
08-Nov-24,10:53:58 AM,0,10.107,15.8
08-Nov-24,11:08:58 AM,0,10.106,15.8
08-Nov-24,11:23:58 AM,0,10.106,15.8
08-Nov-24,11:38:58 AM,0,10.103,15.7
08-Nov-24,11:53:58 AM,0,10.103,15.7
08-Nov-24,12:08:58 PM,0,10.101,15.7
08-Nov-24,12:23:58 PM,0,10.101,15.8
08-Nov-24,12:38:58 PM,0,10.101,15.8
08-Nov-24,12:53:58 PM,0,10.1,15.8
08-Nov-24,1:08:58 PM,0,10.098,15.8
08-Nov-24,1:23:58 PM,0,10.097,15.7
08-Nov-24,1:38:58 PM,0,10.097,15.7
08-Nov-24,1:53:58 PM,0,10.095,15.7
08-Nov-24,2:08:58 PM,0,10.095,15.7
08-Nov-24,2:23:58 PM,0,10.094,15.7
08-Nov-24,2:38:58 PM,0,10.094,15.7
08-Nov-24,2:53:58 PM,0,10.094,15.7
08-Nov-24,3:08:58 PM,0,10.097,15.7
08-Nov-24,3:23:58 PM,0,10.098,15.7
08-Nov-24,3:38:58 PM,0,10.098,15.7
08-Nov-24,3:53:58 PM,0,10.097,15.7
08-Nov-24,4:08:58 PM,0,10.098,15.7
08-Nov-24,4:23:58 PM,0,10.098,15.6
08-Nov-24,4:38:58 PM,0,10.098,15.5
08-Nov-24,4:53:58 PM,0,10.098,15.5
08-Nov-24,5:08:58 PM,0,10.098,15.4
08-Nov-24,5:23:58 PM,0,10.1,15.3
08-Nov-24,5:38:58 PM,0,10.107,15.2
08-Nov-24,5:53:58 PM,0,10.11,15.1
08-Nov-24,6:08:58 PM,0,10.112,15
08-Nov-24,6:23:58 PM,0,10.115,14.9
08-Nov-24,6:38:58 PM,0,10.113,14.8
08-Nov-24,6:53:58 PM,0,10.112,14.8
08-Nov-24,7:08:58 PM,0,10.112,14.7
08-Nov-24,7:23:58 PM,0,10.113,14.7
08-Nov-24,7:38:58 PM,0,10.113,14.7
08-Nov-24,7:53:58 PM,0,10.113,14.6
08-Nov-24,8:08:58 PM,0,10.112,14.6
08-Nov-24,8:23:58 PM,0,10.112,14.6
08-Nov-24,8:38:58 PM,0,10.113,14.6
08-Nov-24,8:53:58 PM,0,10.112,14.5
08-Nov-24,9:08:58 PM,0,10.113,14.5
08-Nov-24,9:23:58 PM,0,10.115,14.5
08-Nov-24,9:38:58 PM,0,10.115,14.4
08-Nov-24,9:53:58 PM,0,10.113,14.4
08-Nov-24,10:08:58 PM,0,10.116,14.4
08-Nov-24,10:23:58 PM,0,10.116,14.4
08-Nov-24,10:38:58 PM,0,10.116,14.3
08-Nov-24,10:53:58 PM,0,10.118,14.3
08-Nov-24,11:08:58 PM,0,10.118,14.3
08-Nov-24,11:23:58 PM,0,10.118,14.2
08-Nov-24,11:38:58 PM,0,10.115,14.2
08-Nov-24,11:53:58 PM,0,10.116,14.2
09-Nov-24,12:08:58 AM,0,10.113,14.1
09-Nov-24,12:23:58 AM,0,10.113,14.1
09-Nov-24,12:38:58 AM,0,10.113,14.1
09-Nov-24,12:53:58 AM,0,10.112,14.1
09-Nov-24,1:08:58 AM,0,10.109,14
09-Nov-24,1:23:58 AM,0,10.106,14
09-Nov-24,1:38:58 AM,0,10.106,14
09-Nov-24,1:53:58 AM,0,10.104,13.9
09-Nov-24,2:08:58 AM,0,10.106,13.9
09-Nov-24,2:23:58 AM,0,10.107,13.8
09-Nov-24,2:38:58 AM,0,10.109,13.8
09-Nov-24,2:53:58 AM,0,10.106,13.8
09-Nov-24,3:08:58 AM,0,10.107,13.7
09-Nov-24,3:23:58 AM,0,10.107,13.7
09-Nov-24,3:38:58 AM,0,10.104,13.6
09-Nov-24,3:53:58 AM,0,10.104,13.6
09-Nov-24,4:08:58 AM,0,10.104,13.5
09-Nov-24,4:23:58 AM,0,10.107,13.5
09-Nov-24,4:38:58 AM,0,10.115,13.5
09-Nov-24,4:53:58 AM,0,10.115,13.4
09-Nov-24,5:08:58 AM,0,10.119,13.4
09-Nov-24,5:23:58 AM,0,10.119,13.3
09-Nov-24,5:38:58 AM,0,10.119,13.3
09-Nov-24,5:53:58 AM,0,10.116,13.2
09-Nov-24,6:08:58 AM,0,10.116,13.2
09-Nov-24,6:23:58 AM,0,10.116,13.1
09-Nov-24,6:38:58 AM,0,10.115,13.1
09-Nov-24,6:53:58 AM,0,10.113,13
09-Nov-24,7:08:58 AM,0,10.115,13
09-Nov-24,7:23:58 AM,0,10.118,12.9
09-Nov-24,7:38:58 AM,0,10.119,12.9
09-Nov-24,7:53:58 AM,0,10.121,12.9
09-Nov-24,8:08:58 AM,0,10.121,12.9
09-Nov-24,8:23:58 AM,0,10.124,12.9
09-Nov-24,8:38:58 AM,0,10.124,12.9
09-Nov-24,8:53:58 AM,0,10.124,12.8
09-Nov-24,9:08:58 AM,0,10.122,12.8
09-Nov-24,9:23:58 AM,0,10.121,12.8
09-Nov-24,9:38:58 AM,0,10.118,12.7
09-Nov-24,9:53:58 AM,0,10.118,12.7
09-Nov-24,10:08:58 AM,0,10.116,12.7
09-Nov-24,10:23:58 AM,0,10.115,12.7
09-Nov-24,10:38:58 AM,0,10.115,12.7
09-Nov-24,10:53:58 AM,0,10.115,12.7
09-Nov-24,11:08:58 AM,0,10.115,12.8
09-Nov-24,11:23:58 AM,0,10.115,12.9
09-Nov-24,11:38:58 AM,0,10.116,13.1
09-Nov-24,11:53:58 AM,0,10.113,13.3
09-Nov-24,12:08:58 PM,0,10.112,13.5
09-Nov-24,12:23:58 PM,0,10.112,13.7
09-Nov-24,12:38:58 PM,0,10.11,13.9
09-Nov-24,12:53:58 PM,0,10.109,14
09-Nov-24,1:08:58 PM,0,10.103,14.1
09-Nov-24,1:23:58 PM,0,10.104,14.3
09-Nov-24,1:38:58 PM,0,10.103,14.3
09-Nov-24,1:53:58 PM,0,10.104,14.4
09-Nov-24,2:08:58 PM,0,10.103,14.7
09-Nov-24,2:23:58 PM,0,10.101,15
09-Nov-24,2:38:58 PM,0,10.1,15
09-Nov-24,2:53:58 PM,0,10.1,15
09-Nov-24,3:08:58 PM,0,10.1,15
09-Nov-24,3:23:58 PM,0,10.1,15
09-Nov-24,3:38:58 PM,0,10.098,15
09-Nov-24,3:53:58 PM,0,10.097,14.9
09-Nov-24,4:08:58 PM,0,10.097,14.9
09-Nov-24,4:23:58 PM,0,10.097,14.9
09-Nov-24,4:38:58 PM,0,10.097,14.9
09-Nov-24,4:53:58 PM,0,10.097,14.8
09-Nov-24,5:08:58 PM,0,10.097,14.8
09-Nov-24,5:23:58 PM,0,10.095,14.7
09-Nov-24,5:38:58 PM,0,10.097,14.7
09-Nov-24,5:53:58 PM,0,10.097,14.6
