Serial_number:
1090580
Project ID:

Location:

LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
CONDUCTIVITY
UNIT: µS/cm
Date,Time,ms,LEVEL,TEMPERATURE,CONDUCTIVITY
11/7/2024,11:30:00 am,0,10.0200,27.355,232.9
11/7/2024,11:45:00 am,0,10.1094,15.954,518.9
11/7/2024,12:00:00 pm,0,10.1076,15.896,534.6
11/7/2024,12:15:00 pm,0,10.1058,15.963,533.7
11/7/2024,12:30:00 pm,0,10.1033,16.084,532.1
11/7/2024,12:45:00 pm,0,10.1025,16.239,532.2
11/7/2024,01:00:00 pm,0,10.0992,16.386,535.5
11/7/2024,01:15:00 pm,0,10.0975,16.521,535.8
11/7/2024,01:30:00 pm,0,10.0959,16.621,537.6
11/7/2024,01:45:00 pm,0,10.0943,16.710,539.1
11/7/2024,02:00:00 pm,0,10.0939,16.806,542.3
11/7/2024,02:15:00 pm,0,10.0918,16.912,545.5
11/7/2024,02:30:00 pm,0,10.0918,17.009,548.1
11/7/2024,02:45:00 pm,0,10.0896,17.119,552.0
11/7/2024,03:00:00 pm,0,10.0905,17.220,554.1
11/7/2024,03:15:00 pm,0,10.0928,17.286,555.8
11/7/2024,03:30:00 pm,0,10.0921,17.342,555.1
11/7/2024,03:45:00 pm,0,10.0929,17.396,553.2
11/7/2024,04:00:00 pm,0,10.0933,17.420,550.4
11/7/2024,04:15:00 pm,0,10.0933,17.442,549.3
11/7/2024,04:30:00 pm,0,10.0925,17.454,547.7
11/7/2024,04:45:00 pm,0,10.0948,17.452,546.8
11/7/2024,05:00:00 pm,0,10.0956,17.441,546.0
11/7/2024,05:15:00 pm,0,10.0972,17.417,544.9
11/7/2024,05:30:00 pm,0,10.0973,17.386,542.9
11/7/2024,05:45:00 pm,0,10.0979,17.349,540.8
11/7/2024,06:00:00 pm,0,10.0998,17.297,539.2
11/7/2024,06:15:00 pm,0,10.1004,17.244,537.6
11/7/2024,06:30:00 pm,0,10.1024,17.186,535.7
11/7/2024,06:45:00 pm,0,10.1047,17.114,534.2
11/7/2024,07:00:00 pm,0,10.1069,17.061,533.1
11/7/2024,07:15:00 pm,0,10.1077,17.023,531.8
11/7/2024,07:30:00 pm,0,10.1084,16.990,531.1
11/7/2024,07:45:00 pm,0,10.1081,16.957,530.4
11/7/2024,08:00:00 pm,0,10.1077,16.926,529.2
11/7/2024,08:15:00 pm,0,10.1086,16.900,528.4
11/7/2024,08:30:00 pm,0,10.1087,16.872,528.0
11/7/2024,08:45:00 pm,0,10.1085,16.846,527.5
11/7/2024,09:00:00 pm,0,10.1094,16.823,527.4
11/7/2024,09:15:00 pm,0,10.1081,16.800,526.9
11/7/2024,09:30:00 pm,0,10.1065,16.778,526.5
11/7/2024,09:45:00 pm,0,10.1057,16.755,526.7
11/7/2024,10:00:00 pm,0,10.1056,16.729,526.3
11/7/2024,10:15:00 pm,0,10.1060,16.704,525.9
11/7/2024,10:30:00 pm,0,10.1047,16.681,524.5
11/7/2024,10:45:00 pm,0,10.1030,16.654,523.4
11/7/2024,11:00:00 pm,0,10.1026,16.630,522.6
11/7/2024,11:15:00 pm,0,10.1012,16.606,522.3
11/7/2024,11:30:00 pm,0,10.1018,16.585,522.0
11/7/2024,11:45:00 pm,0,10.1015,16.563,521.8
11/8/2024,12:00:00 am,0,10.1030,16.548,522.0
11/8/2024,12:15:00 am,0,10.1044,16.537,521.3
11/8/2024,12:30:00 am,0,10.1040,16.528,521.3
11/8/2024,12:45:00 am,0,10.1015,16.510,521.4
11/8/2024,01:00:00 am,0,10.1025,16.486,520.8
11/8/2024,01:15:00 am,0,10.1038,16.463,520.7
11/8/2024,01:30:00 am,0,10.1040,16.438,520.4
11/8/2024,01:45:00 am,0,10.1056,16.412,519.9
11/8/2024,02:00:00 am,0,10.1064,16.383,519.3
11/8/2024,02:15:00 am,0,10.1058,16.356,518.3
11/8/2024,02:30:00 am,0,10.1067,16.330,517.4
11/8/2024,02:45:00 am,0,10.1069,16.303,516.7
11/8/2024,03:00:00 am,0,10.1072,16.274,515.9
11/8/2024,03:15:00 am,0,10.1081,16.246,515.3
11/8/2024,03:30:00 am,0,10.1073,16.219,514.4
11/8/2024,03:45:00 am,0,10.1062,16.187,513.9
11/8/2024,04:00:00 am,0,10.1090,16.157,513.5
11/8/2024,04:15:00 am,0,10.1099,16.130,513.4
11/8/2024,04:30:00 am,0,10.1090,16.103,513.2
11/8/2024,04:45:00 am,0,10.1086,16.078,513.0
