Plot Title: Cowan Cummunity Center,,,,,,,
#,"Date Time, GMT-05:00","Wind Direction, ø (LGR S/N: 21920235, SEN S/N: 21873582)","Wind Speed, mph (LGR S/N: 21920235, SEN S/N: 21877366)","Gust Speed, mph (LGR S/N: 21920235, SEN S/N: 21877366)","Temp, °F (LGR S/N: 21920235, SEN S/N: 21901390)","RH, % (LGR S/N: 21920235, SEN S/N: 21901390)","Rain, in (LGR S/N: 21920235, SEN S/N: 21920227)"
1,11-08-24 14:07,230.2,0,0,58.701,93.225,
2,11-08-24 14:22,241.5,0,2.26,58.509,91.344,0
3,11-08-24 14:37,40.7,0,1.12,58.701,94.662,0
4,11-08-24 14:52,37.9,0,1.12,58.199,92.996,0
5,11-08-24 15:07,35.1,0,0,58.469,92.386,0
6,11-08-24 15:22,351,0,0,57.002,95.448,0
7,11-08-24 15:37,351,0,0,55.227,97.169,0
8,11-08-24 15:52,351,0,0,53.413,97.967,0
9,11-08-24 16:07,351,0,0,52.293,98.593,0
10,11-08-24 16:22,349.6,0,0,51.289,98.705,0
11,11-08-24 16:37,349.6,0,0,50.634,98.933,0
12,11-08-24 16:52,351,0,0,50.324,99.016,0
13,11-08-24 17:07,351,0,0,49.784,99.129,0
14,11-08-24 17:22,351,0,0,49.629,99.426,0
15,11-08-24 17:37,351,0,0,49.629,99.55,0
16,11-08-24 17:52,351,0,0,49.667,99.593,0
17,11-08-24 18:07,351,0,0,49.167,99.638,0
18,11-08-24 18:22,349.6,0,0,49.204,99.673,0
19,11-08-24 18:37,349.6,0,0,49.359,99.783,0
20,11-08-24 18:52,349.6,0,1.12,49.242,99.934,0
21,11-08-24 19:07,256.9,0,1.12,48.78,99.95,0
22,11-08-24 19:22,255.5,0,0,49.012,99.997,0
23,11-08-24 19:37,255.5,0,0,49.012,99.997,0
24,11-08-24 19:52,255.5,0,1.12,48.972,99.995,0
25,11-08-24 20:07,255.5,0,0,48.742,99.997,0
26,11-08-24 20:22,255.5,0,0,48.123,99.997,0
27,11-08-24 20:37,255.5,0,0,47.467,99.997,0
28,11-08-24 20:52,256.9,0,0,46.81,99.997,0
29,11-08-24 21:07,324.3,0,1.12,45.808,99.997,0
30,11-08-24 21:22,324.3,0,0,45.498,99.997,0
31,11-08-24 21:37,324.3,0,0,45.151,99.997,0
32,11-08-24 21:52,262.5,0,1.12,44.919,99.997,0
33,11-08-24 22:07,256.9,0,0,44.416,99.997,0
34,11-08-24 22:22,247.1,0,0,43.954,99.997,0
35,11-08-24 22:37,247.1,0,1.12,43.916,99.997,0
36,11-08-24 22:52,247.1,0,2.26,43.491,99.997,0
37,11-08-24 23:07,286.4,0,1.12,43.799,99.858,0
38,11-08-24 23:22,259.7,0,2.26,44.146,99.719,0
39,11-08-24 23:37,254.1,0,0,45.653,97.737,0
40,11-08-24 23:52,238.7,0,0,52.525,88.885,0
41,11-09-24 0:07,237.3,0,1.12,54.957,81.056,0
42,11-09-24 0:22,237.3,0,1.12,59.241,73.098,0
43,11-09-24 0:37,190.9,0,3.38,63.72,58.451,0
44,11-09-24 0:52,230.2,0,2.26,67.156,42.016,0
45,11-09-24 1:07,237.3,0,3.38,67.62,39.704,0
46,11-09-24 1:22,220.4,0,0,68.508,39.219,0
47,11-09-24 1:37,237.3,0,2.26,69.472,34.946,0
48,11-09-24 1:52,214.8,0,2.26,69.588,41.347,0
49,11-09-24 2:07,217.6,0,2.26,72.986,33.616,0
50,11-09-24 2:22,190.9,0,1.12,73.256,40.072,0
51,11-09-24 2:37,304.7,0,0,68.623,56.573,0
52,11-09-24 2:52,303.2,0,0,64.724,57.392,0
53,11-09-24 3:07,303.2,0,0,64.686,67.25,0
54,11-09-24 3:22,303.2,0,0,63.797,69.516,0
55,11-09-24 3:37,303.2,0,0,61.288,77.084,0
56,11-09-24 3:52,303.2,0,0,58.933,82.481,0
57,11-09-24 4:07,303.2,0,0,57.234,85.91,0
58,11-09-24 4:22,303.2,0,0,56.347,87.329,0
59,11-09-24 4:37,303.2,0,0,55.497,89.796,0
60,11-09-24 4:52,303.2,0,0,55.767,88.89,0
61,11-09-24 5:07,303.2,0,0,55.882,89.058,0
62,11-09-24 5:22,303.2,0,0,54.918,90.55,0
63,11-09-24 5:37,293.4,0,1.12,54.995,89.201,0
64,11-09-24 5:52,251.3,0,3.38,56.385,85.931,0
65,11-09-24 6:07,227.4,1.12,6.76,63.874,70.436,0
66,11-09-24 6:22,247.1,0,5.64,68.045,55.035,0
67,11-09-24 6:37,202.2,1.12,6.76,68.43,48.74,0
68,11-09-24 6:52,188.1,1.12,5.64,67.426,46.882,0
69,11-09-24 7:07,157.2,0,6.76,66.963,48.022,0
70,11-09-24 7:22,199.4,1.12,14.63,67.273,47.144,0
71,11-09-24 7:37,110.9,2.26,13.51,66.461,47.385,0
72,11-09-24 7:52,44.9,1.12,11.25,65.921,51.167,0
73,11-09-24 8:07,32.3,1.12,10.13,64.492,57.873,0
74,11-09-24 8:22,349.6,0,5.64,62.91,61.132,0
75,11-09-24 8:37,32.3,0,3.38,60.555,68.983,0
76,11-09-24 8:52,0,0,5.64,62.562,60.443,0
77,11-09-24 9:07,46.3,0,1.12,60.825,66.081,0
78,11-09-24 9:22,2.8,0,10.13,63.644,53.973,0
79,11-09-24 9:37,33.7,0,4.5,62.33,61.079,0
80,11-09-24 9:52,11.2,0,2.26,62.33,62.036,0
81,11-09-24 10:07,349.6,0,1.12,60.208,69.406,0
82,11-09-24 10:22,4.2,0,2.26,60.053,68.969,0
83,11-09-24 10:37,14,0,3.38,62.022,62.251,0
84,11-09-24 10:52,16.8,0,9.01,65.304,53.983,0
85,11-09-24 11:07,19.7,1.12,9.01,64.956,57.594,0
86,11-09-24 11:22,223.2,2.26,13.51,66.771,49.523,0
87,11-09-24 11:37,164.3,2.26,9.01,68.392,48.182,0
88,11-09-24 11:52,342.6,0,5.64,68.43,52.587,0
89,11-09-24 12:07,136.2,1.12,11.25,67.698,51.53,0
90,11-09-24 12:22,314.5,0,6.76,68.932,54.577,0
91,11-09-24 12:37,99.7,1.12,9.01,70.322,51.542,0
92,11-09-24 12:52,80,1.12,9.01,70.012,53.819,0
93,11-09-24 13:07,92.7,0,6.76,70.284,55.563,0
94,11-09-24 13:22,95.5,1.12,6.76,71.866,54.519,0
95,11-09-24 13:37,101.1,1.12,10.13,71.557,52.824,0
96,11-09-24 13:52,169.9,1.12,7.87,72.754,52.789,0
97,11-09-24 14:07,96.9,0,6.76,71.827,52.999,0
98,11-09-24 14:22,137.6,1.12,9.01,72.946,52.02,0
99,11-09-24 14:37,122.1,1.12,10.13,72.252,53.938,0
100,11-09-24 14:52,108.1,2.26,7.87,71.132,54.839,0
101,11-09-24 15:07,101.1,1.12,9.01,71.056,56.976,0
102,11-09-24 15:22,147.4,0,4.5,70.167,61.569,0
103,11-09-24 15:37,82.8,0,1.12,67.35,68.251,0
104,11-09-24 15:52,112.3,0,2.26,66.578,69.029,0
105,11-09-24 16:07,144.6,0,3.38,67.388,66.854,0
106,11-09-24 16:22,198,0,1.12,64.531,72.439,0
107,11-09-24 16:37,300.4,0,1.12,62.677,77.087,0
108,11-09-24 16:52,150.2,0,3.38,65.304,68.879,0
109,11-09-24 17:07,235.9,0,2.26,65.574,69.052,0
110,11-09-24 17:22,154.4,0,5.64,67.388,66.392,0
111,11-09-24 17:37,154.4,1.12,7.87,67.465,67.456,0
112,11-09-24 17:52,122.1,0,1.12,63.837,75.734,0
113,11-09-24 18:07,171.3,0,9.01,66.808,70.394,0
114,11-09-24 18:22,150.2,0,6.76,66.808,70.175,0
115,11-09-24 18:37,164.3,0,4.5,66.306,72.221,0
116,11-09-24 18:52,126.4,0,1.12,60.708,94.301,0
117,11-09-24 19:07,349.6,0,6.76,60.4,95.608,0
118,11-09-24 19:22,348.2,0,3.38,60.361,96.895,0
119,11-09-24 19:37,22.5,0,4.5,63.102,86.957,0
120,11-09-24 19:52,18.3,0,2.26,60.555,97.066,0
121,11-09-24 20:07,18.3,0,1.12,60.516,97.902,0.04
122,11-09-24 20:22,28.1,0,0,60.516,98.328,0
123,11-09-24 20:37,28.1,0,0,60.4,98.506,0
124,11-09-24 20:52,29.5,0,0,60.361,98.737,0
125,11-09-24 21:07,29.5,0,2.26,60.555,99.126,0.04
126,11-09-24 21:22,193.7,0,0,60.516,99.088,0
127,11-09-24 21:37,193.7,0,0,60.478,99.226,0.01
128,11-09-24 21:52,193.7,0,0,60.478,99.394,0
129,11-09-24 22:07,193.7,0,0,60.438,99.414,0
130,11-09-24 22:22,193.7,0,0,60.053,99.496,0
131,11-09-24 22:37,193.7,0,0,59.86,99.577,0
132,11-09-24 22:52,193.7,0,0,59.938,99.628,0
133,11-09-24 23:07,193.7,0,0,60.246,99.619,0
134,11-09-24 23:22,193.7,0,0,60.438,99.474,0
135,11-09-24 23:37,193.7,0,0,61.018,97.633,0
136,11-09-24 23:52,193.7,0,0,61.405,96.832,0
137,11-10-24 0:07,172.7,0,2.26,64.686,85.411,0
138,11-10-24 0:22,182.5,0,6.76,68.893,71.667,0
139,11-10-24 0:37,175.5,0,4.5,66.731,72.331,0
140,11-10-24 0:52,181.1,0,5.64,65.728,71.447,0
141,11-10-24 1:07,223.2,0,5.64,68.353,63.038,0
142,11-10-24 1:22,199.4,0,2.26,69.742,60.703,0
143,11-10-24 1:37,212,1.12,7.87,71.519,50.347,0
144,11-10-24 1:52,147.4,0,3.38,68.43,54.903,0
145,11-10-24 2:07,54.8,0,4.5,68.932,52.546,0
146,11-10-24 2:22,217.6,0,5.64,72.871,44.909,0
147,11-10-24 2:37,150.2,0,4.5,71.404,48.151,0
148,11-10-24 2:52,262.5,0,3.38,66.731,58.106,0
