Serial_number:
2160858
Project ID:

Location:

LEVEL
UNIT: kPa
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
13-Dec-24,02:19:43 pm,0,97.5739,10.427
13-Dec-24,02:24:43 pm,0,97.6076,14.812
13-Dec-24,02:29:43 pm,0,97.7190,14.846
13-Dec-24,02:34:43 pm,0,97.5520,13.308
13-Dec-24,02:39:43 pm,0,99.3942,9.191
13-Dec-24,02:44:43 pm,0,99.3748,8.892
13-Dec-24,02:49:43 pm,0,99.3624,8.800
13-Dec-24,02:54:43 pm,0,99.3627,8.747
13-Dec-24,02:59:43 pm,0,99.3619,8.720
13-Dec-24,03:04:43 pm,0,99.3618,8.699
13-Dec-24,03:09:43 pm,0,99.3685,8.682
13-Dec-24,03:14:43 pm,0,99.3596,8.669
13-Dec-24,03:19:43 pm,0,99.3585,8.660
13-Dec-24,03:24:43 pm,0,99.3668,8.652
13-Dec-24,03:29:43 pm,0,99.3693,8.643
13-Dec-24,03:34:43 pm,0,99.3729,8.631
13-Dec-24,03:39:43 pm,0,99.3722,8.617
13-Dec-24,03:44:43 pm,0,99.3784,8.608
13-Dec-24,03:49:43 pm,0,99.3805,8.600
13-Dec-24,03:54:43 pm,0,99.3763,8.597
13-Dec-24,03:59:43 pm,0,99.3765,8.590
13-Dec-24,04:04:43 pm,0,99.3794,8.584
13-Dec-24,04:09:43 pm,0,99.3810,8.579
13-Dec-24,04:14:43 pm,0,99.3845,8.574
13-Dec-24,04:19:43 pm,0,99.3761,8.567
13-Dec-24,04:24:43 pm,0,99.3827,8.557
13-Dec-24,04:29:43 pm,0,99.3859,8.551
13-Dec-24,04:34:43 pm,0,99.3897,8.544
13-Dec-24,04:39:43 pm,0,99.3870,8.537
13-Dec-24,04:44:43 pm,0,99.3947,8.530
13-Dec-24,04:49:43 pm,0,99.3868,8.524
13-Dec-24,04:54:43 pm,0,99.3941,8.517
13-Dec-24,04:59:43 pm,0,99.3932,8.507
13-Dec-24,05:04:43 pm,0,99.3970,8.500
13-Dec-24,05:09:43 pm,0,99.4025,8.490
13-Dec-24,05:14:43 pm,0,99.4043,8.480
13-Dec-24,05:19:43 pm,0,99.4056,8.474
13-Dec-24,05:24:43 pm,0,99.4122,8.468
13-Dec-24,05:29:43 pm,0,99.4145,8.456
13-Dec-24,05:34:43 pm,0,99.4172,8.444
13-Dec-24,05:39:43 pm,0,99.4214,8.428
13-Dec-24,05:44:43 pm,0,99.4157,8.416
13-Dec-24,05:49:43 pm,0,99.4158,8.409
13-Dec-24,05:54:43 pm,0,99.4157,8.402
13-Dec-24,05:59:43 pm,0,99.4169,8.393
13-Dec-24,06:04:43 pm,0,99.4292,8.386
13-Dec-24,06:09:43 pm,0,99.4258,8.381
13-Dec-24,06:14:43 pm,0,99.4256,8.369
13-Dec-24,06:19:43 pm,0,99.4289,8.361
13-Dec-24,06:24:43 pm,0,99.4321,8.350
13-Dec-24,06:29:43 pm,0,99.4375,8.330
13-Dec-24,06:34:43 pm,0,99.4495,8.313
13-Dec-24,06:39:43 pm,0,99.4509,8.301
13-Dec-24,06:44:43 pm,0,99.4586,8.287
13-Dec-24,06:49:43 pm,0,99.4630,8.279
13-Dec-24,06:54:43 pm,0,99.4700,8.265
13-Dec-24,06:59:43 pm,0,99.4737,8.257
13-Dec-24,07:04:43 pm,0,99.4798,8.250
13-Dec-24,07:09:43 pm,0,99.4824,8.244
13-Dec-24,07:14:43 pm,0,99.4844,8.236
13-Dec-24,07:19:43 pm,0,99.4852,8.229
13-Dec-24,07:24:43 pm,0,99.4853,8.227
13-Dec-24,07:29:43 pm,0,99.4813,8.222
13-Dec-24,07:34:43 pm,0,99.4865,8.212
13-Dec-24,07:39:43 pm,0,99.4871,8.205
13-Dec-24,07:44:43 pm,0,99.4971,8.195
13-Dec-24,07:49:43 pm,0,99.4920,8.186
13-Dec-24,07:54:43 pm,0,99.4934,8.176
13-Dec-24,07:59:43 pm,0,99.5007,8.166
13-Dec-24,08:04:43 pm,0,99.5029,8.156
13-Dec-24,08:09:43 pm,0,99.5112,8.139
13-Dec-24,08:14:43 pm,0,99.5090,8.125
13-Dec-24,08:19:43 pm,0,99.5055,8.109
13-Dec-24,08:24:43 pm,0,99.5071,8.094
13-Dec-24,08:29:43 pm,0,99.5113,8.083
13-Dec-24,08:34:43 pm,0,99.5164,8.073
13-Dec-24,08:39:43 pm,0,99.5168,8.060
13-Dec-24,08:44:43 pm,0,99.5229,8.048
13-Dec-24,08:49:43 pm,0,99.5275,8.038
13-Dec-24,08:54:43 pm,0,99.5298,8.030
13-Dec-24,08:59:43 pm,0,99.5284,8.022
13-Dec-24,09:04:43 pm,0,99.5292,8.009
13-Dec-24,09:09:43 pm,0,99.5311,8.003
13-Dec-24,09:14:43 pm,0,99.5204,7.990
13-Dec-24,09:19:43 pm,0,99.5146,7.980
13-Dec-24,09:24:43 pm,0,99.5117,7.967
13-Dec-24,09:29:43 pm,0,99.5079,7.959
13-Dec-24,09:34:43 pm,0,99.5085,7.948
13-Dec-24,09:39:43 pm,0,99.5148,7.934
13-Dec-24,09:44:43 pm,0,99.5158,7.923
13-Dec-24,09:49:43 pm,0,99.5156,7.910
13-Dec-24,09:54:43 pm,0,99.5163,7.896
13-Dec-24,09:59:43 pm,0,99.5157,7.885
13-Dec-24,10:04:43 pm,0,99.5231,7.873
13-Dec-24,10:09:43 pm,0,99.5284,7.861
13-Dec-24,10:14:43 pm,0,99.5405,7.852
13-Dec-24,10:19:43 pm,0,99.5468,7.846
13-Dec-24,10:24:43 pm,0,99.5400,7.838
13-Dec-24,10:29:43 pm,0,99.5284,7.834
13-Dec-24,10:34:43 pm,0,99.5235,7.826
13-Dec-24,10:39:43 pm,0,99.5318,7.814
13-Dec-24,10:44:43 pm,0,99.5435,7.804
13-Dec-24,10:49:43 pm,0,99.5300,7.793
13-Dec-24,10:54:43 pm,0,99.5169,7.779
13-Dec-24,10:59:43 pm,0,99.5115,7.764
13-Dec-24,11:04:43 pm,0,99.5010,7.752
13-Dec-24,11:09:43 pm,0,99.4853,7.739
13-Dec-24,11:14:43 pm,0,99.4748,7.724
13-Dec-24,11:19:43 pm,0,99.4642,7.711
13-Dec-24,11:24:43 pm,0,99.4631,7.701
13-Dec-24,11:29:43 pm,0,99.4656,7.693
13-Dec-24,11:34:43 pm,0,99.4725,7.684
13-Dec-24,11:39:43 pm,0,99.4791,7.677
13-Dec-24,11:44:43 pm,0,99.4740,7.672
13-Dec-24,11:49:43 pm,0,99.4856,7.672
13-Dec-24,11:54:43 pm,0,99.4842,7.677
13-Dec-24,11:59:43 pm,0,99.4794,7.683
14-Dec-24,12:04:43 am,0,99.4801,7.687
14-Dec-24,12:09:43 am,0,99.4813,7.689
14-Dec-24,12:14:43 am,0,99.4790,7.682
14-Dec-24,12:19:43 am,0,99.4618,7.672
14-Dec-24,12:24:43 am,0,99.4588,7.665
14-Dec-24,12:29:43 am,0,99.4633,7.653
14-Dec-24,12:34:43 am,0,99.4606,7.640
14-Dec-24,12:39:43 am,0,99.4706,7.633
14-Dec-24,12:44:43 am,0,99.4668,7.631
14-Dec-24,12:49:43 am,0,99.4666,7.628
14-Dec-24,12:54:43 am,0,99.4717,7.629
14-Dec-24,12:59:43 am,0,99.4668,7.628
14-Dec-24,01:04:43 am,0,99.4732,7.623
14-Dec-24,01:09:43 am,0,99.4873,7.625
14-Dec-24,01:14:43 am,0,99.4855,7.625
14-Dec-24,01:19:43 am,0,99.4815,7.629
14-Dec-24,01:24:43 am,0,99.4789,7.620
14-Dec-24,01:29:43 am,0,99.4749,7.613
14-Dec-24,01:34:43 am,0,99.4758,7.603
14-Dec-24,01:39:43 am,0,99.4827,7.596
14-Dec-24,01:44:43 am,0,99.4798,7.586
14-Dec-24,01:49:43 am,0,99.4839,7.580
14-Dec-24,01:54:43 am,0,99.4856,7.569
14-Dec-24,01:59:43 am,0,99.4889,7.556
14-Dec-24,02:04:43 am,0,99.4876,7.551
14-Dec-24,02:09:43 am,0,99.4870,7.548
14-Dec-24,02:14:43 am,0,99.4892,7.537
14-Dec-24,02:19:43 am,0,99.4960,7.523
14-Dec-24,02:24:43 am,0,99.4982,7.511
14-Dec-24,02:29:43 am,0,99.5040,7.497
14-Dec-24,02:34:43 am,0,99.5134,7.483
14-Dec-24,02:39:43 am,0,99.5167,7.468
14-Dec-24,02:44:43 am,0,99.5159,7.449
14-Dec-24,02:49:43 am,0,99.5137,7.432
14-Dec-24,02:54:43 am,0,99.5016,7.403
14-Dec-24,02:59:43 am,0,99.4978,7.393
14-Dec-24,03:04:43 am,0,99.4992,7.382
14-Dec-24,03:09:43 am,0,99.5037,7.373
14-Dec-24,03:14:43 am,0,99.5076,7.374
14-Dec-24,03:19:43 am,0,99.5089,7.385
14-Dec-24,03:24:43 am,0,99.5059,7.401
14-Dec-24,03:29:43 am,0,99.5033,7.413
14-Dec-24,03:34:43 am,0,99.5096,7.404
14-Dec-24,03:39:43 am,0,99.5070,7.402
14-Dec-24,03:44:43 am,0,99.5039,7.405
14-Dec-24,03:49:43 am,0,99.5088,7.400
14-Dec-24,03:54:43 am,0,99.5118,7.388
14-Dec-24,03:59:43 am,0,99.5172,7.396
14-Dec-24,04:04:43 am,0,99.5200,7.410
14-Dec-24,04:09:43 am,0,99.5167,7.421
14-Dec-24,04:14:43 am,0,99.5234,7.431
14-Dec-24,04:19:43 am,0,99.5213,7.430
14-Dec-24,04:24:43 am,0,99.5189,7.420
14-Dec-24,04:29:43 am,0,99.5168,7.405
14-Dec-24,04:34:43 am,0,99.5250,7.387
14-Dec-24,04:39:43 am,0,99.5230,7.386
14-Dec-24,04:44:43 am,0,99.5161,7.388
14-Dec-24,04:49:43 am,0,99.5127,7.386
14-Dec-24,04:54:43 am,0,99.5106,7.387
14-Dec-24,04:59:43 am,0,99.5191,7.391
14-Dec-24,05:04:43 am,0,99.5224,7.389
14-Dec-24,05:09:43 am,0,99.5235,7.380
14-Dec-24,05:14:43 am,0,99.5284,7.378
14-Dec-24,05:19:43 am,0,99.5327,7.372
14-Dec-24,05:24:43 am,0,99.5353,7.358
14-Dec-24,05:29:43 am,0,99.5377,7.342
14-Dec-24,05:34:43 am,0,99.5333,7.325
14-Dec-24,05:39:43 am,0,99.5416,7.308
14-Dec-24,05:44:43 am,0,99.5455,7.308
14-Dec-24,05:49:43 am,0,99.5590,7.323
14-Dec-24,05:54:43 am,0,99.5624,7.342
14-Dec-24,05:59:43 am,0,99.5656,7.356
14-Dec-24,06:04:43 am,0,99.5753,7.371
14-Dec-24,06:09:43 am,0,99.5713,7.372
14-Dec-24,06:14:43 am,0,99.5753,7.366
14-Dec-24,06:19:43 am,0,99.5784,7.359
14-Dec-24,06:24:43 am,0,99.5812,7.356
14-Dec-24,06:29:43 am,0,99.5854,7.356
14-Dec-24,06:34:43 am,0,99.5863,7.352
14-Dec-24,06:39:43 am,0,99.5753,7.345
14-Dec-24,06:44:43 am,0,99.5789,7.338
14-Dec-24,06:49:43 am,0,99.5827,7.335
14-Dec-24,06:54:43 am,0,99.5844,7.324
14-Dec-24,06:59:43 am,0,99.5881,7.316
14-Dec-24,07:04:43 am,0,99.5861,7.323
14-Dec-24,07:09:43 am,0,99.5874,7.325
14-Dec-24,07:14:43 am,0,99.5940,7.332
14-Dec-24,07:19:43 am,0,99.5971,7.336
14-Dec-24,07:24:43 am,0,99.5929,7.333
14-Dec-24,07:29:43 am,0,99.5954,7.332
14-Dec-24,07:34:43 am,0,99.5961,7.342
14-Dec-24,07:39:43 am,0,99.5944,7.347
14-Dec-24,07:44:43 am,0,99.6004,7.360
14-Dec-24,07:49:43 am,0,99.6038,7.372
14-Dec-24,07:54:43 am,0,99.6104,7.380
14-Dec-24,07:59:43 am,0,99.6043,7.396
14-Dec-24,08:04:43 am,0,99.5939,7.408
14-Dec-24,08:09:43 am,0,99.5949,7.415
14-Dec-24,08:14:43 am,0,99.5994,7.418
14-Dec-24,08:19:43 am,0,99.6014,7.418
14-Dec-24,08:24:43 am,0,99.5980,7.429
14-Dec-24,08:29:43 am,0,99.6025,7.440
14-Dec-24,08:34:43 am,0,99.5972,7.451
14-Dec-24,08:39:43 am,0,99.5970,7.460
14-Dec-24,08:44:43 am,0,99.5989,7.465
14-Dec-24,08:49:43 am,0,99.6014,7.471
14-Dec-24,08:54:43 am,0,99.6038,7.476
14-Dec-24,08:59:43 am,0,99.5939,7.478
14-Dec-24,09:04:43 am,0,99.6048,7.477
14-Dec-24,09:09:43 am,0,99.5990,7.484
14-Dec-24,09:14:43 am,0,99.6013,7.494
14-Dec-24,09:19:43 am,0,99.6106,7.509
14-Dec-24,09:24:43 am,0,99.6160,7.522
14-Dec-24,09:29:43 am,0,99.6124,7.532
14-Dec-24,09:34:43 am,0,99.6217,7.544
14-Dec-24,09:39:43 am,0,99.6344,7.558
14-Dec-24,09:44:43 am,0,99.6326,7.566
14-Dec-24,09:49:43 am,0,99.6356,7.570
14-Dec-24,09:54:43 am,0,99.6443,7.570
14-Dec-24,09:59:43 am,0,99.6607,7.566
14-Dec-24,10:04:43 am,0,99.6642,7.577
14-Dec-24,10:09:43 am,0,99.6617,7.589
14-Dec-24,10:14:43 am,0,99.6615,7.607
14-Dec-24,10:19:43 am,0,99.6599,7.623
14-Dec-24,10:24:43 am,0,99.6631,7.631
14-Dec-24,10:29:43 am,0,99.6693,7.628
14-Dec-24,10:34:43 am,0,99.6721,7.620
14-Dec-24,10:39:43 am,0,99.6662,7.629
14-Dec-24,10:44:43 am,0,99.6506,7.649
14-Dec-24,10:49:43 am,0,99.6402,7.680
14-Dec-24,10:54:43 am,0,99.6250,7.705
14-Dec-24,10:59:43 am,0,99.6169,7.723
14-Dec-24,11:04:43 am,0,99.6059,7.765
14-Dec-24,11:09:43 am,0,99.6047,7.808
14-Dec-24,11:14:43 am,0,99.5973,7.866
14-Dec-24,11:19:43 am,0,99.5885,7.917
14-Dec-24,11:24:43 am,0,99.5941,7.955
14-Dec-24,11:29:43 am,0,99.6087,7.984
14-Dec-24,11:34:43 am,0,99.6052,8.023
14-Dec-24,11:39:43 am,0,99.6064,8.076
